Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      7s |       9999.00000 |  |   0.034269 |    21.29944 |
|    2/1000 |      7s |         11.40649 |  |   0.201098 |     1.06506 |
|    3/1000 |      7s |         -2.14056 |  |   0.483848 |    -9.98108 |
|    4/1000 |      7s |         -8.87039 |  |   0.567275 |   -12.58155 |
|    5/1000 |      7s |        -12.15228 |  |   0.633928 |   -14.67399 |
|    6/1000 |      7s |        -14.80654 |  |   0.671155 |   -15.01114 |
|    7/1000 |      7s |        -15.96123 |  |   0.694198 |   -18.38907 |
|    8/1000 |      7s |        -17.85684 |  |   0.727065 |   -23.01550 |
|    9/1000 |      7s |        -20.02330 |  |   0.728958 |   -23.19342 |
|   10/1000 |      7s |        -20.55897 |  |   0.750374 |   -24.10204 |
|   11/1000 |      7s |        -21.12179 |  |   0.760529 |   -23.64677 |
|   12/1000 |      7s |        -22.35724 |  |   0.768513 |   -26.14546 |
|   13/1000 |      7s |        -23.05935 |  |   0.764196 |   -25.68413 |
|   14/1000 |      7s |        -23.87645 |  |   0.783522 |   -27.30585 |
|   15/1000 |      7s |        -20.07230 |  |   0.764994 |   -25.85741 |
|   16/1000 |      6s |        -25.10688 |  |   0.779054 |   -26.69508 |
|   17/1000 |      7s |        -25.09859 |  |   0.792289 |   -28.70745 |
|   18/1000 |      7s |        -24.57190 |  |   0.795177 |   -28.95659 |
|   19/1000 |      6s |        -25.97166 |  |   0.772605 |   -27.07518 |
|   20/1000 |      6s |        -26.34751 |  |   0.797869 |   -30.70650 |
|   21/1000 |      6s |        -23.10437 |  |   0.795520 |   -26.15847 |
|   22/1000 |      6s |        -27.14023 |  |   0.798557 |   -30.99235 |
|   23/1000 |      6s |        -27.96551 |  |   0.803776 |   -31.45275 |
|   24/1000 |      6s |        -28.07528 |  |   0.803655 |   -30.60130 |
|   25/1000 |      6s |        -28.18722 |  |   0.808981 |   -31.43612 |
