Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.68
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      8s |       9999.00000 |  |   0.124204 |     1.12987 |
|    2/1000 |      7s |         -3.72786 |  |   0.536015 |    -7.32196 |
|    3/1000 |      7s |        -11.44057 |  |   0.621687 |   -16.46671 |
|    4/1000 |      7s |        -16.27267 |  |   0.671619 |   -21.58243 |
|    5/1000 |      7s |        -18.67861 |  |   0.660550 |    -5.05118 |
|    6/1000 |      7s |        -20.65629 |  |   0.706894 |   -25.52626 |
|    7/1000 |      7s |        -21.93812 |  |   0.722061 |   -26.67552 |
|    8/1000 |      7s |        -23.33892 |  |   0.744226 |   -25.41676 |
|    9/1000 |      7s |        -24.00430 |  |   0.756557 |   -27.60204 |
|   10/1000 |      7s |        -24.75311 |  |   0.763464 |   -29.78232 |
|   11/1000 |      7s |        -26.24306 |  |   0.765065 |   -28.94116 |
|   12/1000 |      7s |        -26.91046 |  |   0.773349 |   -31.32524 |
|   13/1000 |      7s |        -27.38659 |  |   0.772464 |   -30.69876 |
|   14/1000 |      7s |        -28.24805 |  |   0.783614 |   -31.99060 |
|   15/1000 |      7s |        -28.37333 |  |   0.778327 |   -31.82430 |
|   16/1000 |      7s |        -28.82403 |  |   0.782157 |   -32.45520 |
|   17/1000 |      7s |        -29.30859 |  |   0.784031 |   -33.11114 |
|   18/1000 |      7s |        -29.77836 |  |   0.783034 |   -32.25165 |
|   19/1000 |      7s |        -29.85472 |  |   0.784853 |   -31.19690 |
|   20/1000 |      7s |        -29.46788 |  |   0.791090 |   -33.77289 |
|   21/1000 |      7s |        -30.54672 |  |   0.792583 |   -34.05931 |
|   22/1000 |      7s |        -31.09026 |  |   0.789312 |   -34.33274 |
|   23/1000 |      7s |        -30.96335 |  |   0.790994 |   -32.21254 |
|   24/1000 |      7s |        -30.59349 |  |   0.795438 |   -33.84374 |
|   25/1000 |      7s |        -31.80606 |  |   0.794457 |   -33.86184 |
|   26/1000 |      7s |        -31.66379 |  |   0.798953 |   -36.37397 |
|   27/1000 |      7s |        -32.00336 |  |   0.799499 |   -35.97602 |
|   28/1000 |      7s |        -32.29605 |  |   0.796171 |   -34.69730 |
|   29/1000 |      7s |        -32.45851 |  |   0.801259 |   -35.56152 |
|   30/1000 |      7s |        -32.75905 |  |   0.805762 |   -36.94748 |
|   31/1000 |      7s |        -32.94712 |  |   0.806567 |   -36.88846 |
|   32/1000 |      7s |        -32.94857 |  |   0.808853 |   -36.25708 |
|   33/1000 |      7s |        -33.12688 |  |   0.811404 |   -36.71629 |
|   34/1000 |      7s |        -33.39721 |  |   0.817895 |   -37.73283 |
|   35/1000 |      7s |        -31.73576 |  |   0.818571 |   -36.43310 |
|   36/1000 |      7s |        -33.75802 |  |   0.821354 |   -37.69011 |
|   37/1000 |      7s |        -33.87799 |  |   0.827401 |   -37.14334 |
|   38/1000 |      7s |        -34.11709 |  |   0.833823 |   -36.84736 |
|   39/1000 |      7s |        -34.18331 |  |   0.837148 |   -37.80722 |
|   40/1000 |      7s |        -34.14379 |  |   0.845588 |   -36.60881 |
|   41/1000 |      7s |        -34.38291 |  |   0.839165 |   -37.17146 |
|   42/1000 |      7s |        -34.50089 |  |   0.847483 |   -38.06729 |
|   43/1000 |      7s |        -34.77260 |  |   0.854336 |   -38.20030 |
|   44/1000 |      7s |        -34.96085 |  |   0.846377 |   -37.61933 |
|   45/1000 |      7s |        -35.00263 |  |   0.858317 |   -38.84951 |
|   46/1000 |      7s |        -35.26864 |  |   0.858978 |   -37.79540 |
|   47/1000 |      7s |        -35.39150 |  |   0.866733 |   -39.52387 |
|   48/1000 |      7s |        -35.44906 |  |   0.865019 |   -38.11565 |
|   49/1000 |      7s |        -35.65930 |  |   0.867454 |   -39.59345 |
|   50/1000 |      7s |        -35.57097 |  |   0.869625 |   -39.04019 |
|   51/1000 |      7s |        -35.92287 |  |   0.866319 |   -37.92302 |
|   52/1000 |      7s |        -36.05483 |  |   0.866847 |   -36.72736 |
|   53/1000 |      7s |        -36.11618 |  |   0.873640 |   -38.14562 |
|   54/1000 |      7s |        -35.99367 |  |   0.873179 |   -39.84256 |
|   55/1000 |      7s |        -36.28970 |  |   0.877982 |   -40.26037 |
|   56/1000 |      7s |        -36.21810 |  |   0.876030 |   -40.21384 |
|   57/1000 |      7s |        -36.38615 |  |   0.874923 |   -39.61381 |
