Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.96
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      3s |       9999.00000 |  |   0.032629 |    68.31593 |
|    2/1000 |      2s |         48.27583 |  |   0.032667 |    35.85993 |
|    3/1000 |      2s |         33.10928 |  |   0.032520 |    25.08302 |
|    4/1000 |      2s |         23.39456 |  |   0.044694 |    18.86719 |
|    5/1000 |      2s |         17.81238 |  |   0.076203 |    14.54927 |
|    6/1000 |      2s |         14.61903 |  |   0.092774 |    11.94835 |
|    7/1000 |      2s |          9.01620 |  |   0.168356 |     7.24828 |
|    8/1000 |      2s |          6.07943 |  |   0.255527 |     2.25156 |
|    9/1000 |      2s |          3.03814 |  |   0.300046 |    -1.70265 |
|   10/1000 |      2s |          0.89375 |  |   0.280486 |     7.13150 |
|   11/1000 |      2s |          2.14282 |  |   0.367488 |    -3.87615 |
|   12/1000 |      2s |         -3.07536 |  |   0.407063 |    -0.18310 |
|   13/1000 |      2s |         -4.87677 |  |   0.414220 |     5.00500 |
|   14/1000 |      2s |         -4.11949 |  |   0.414541 |    -3.44281 |
|   15/1000 |      2s |         -7.11046 |  |   0.490737 |    -7.43089 |
|   16/1000 |      2s |         -7.72340 |  |   0.525331 |    -9.30871 |
|   17/1000 |      2s |         -9.01363 |  |   0.536452 |    -9.04507 |
|   18/1000 |      2s |         -8.72731 |  |   0.571711 |   -12.15676 |
|   19/1000 |      2s |        -10.06870 |  |   0.603864 |   -13.51094 |
|   20/1000 |      2s |        -10.85530 |  |   0.595658 |    -8.79367 |
|   21/1000 |      2s |        -11.63149 |  |   0.620113 |   -15.82949 |
|   22/1000 |      2s |        -12.18098 |  |   0.595870 |    -6.83144 |
|   23/1000 |      2s |        -13.23416 |  |   0.631869 |   -15.71664 |
|   24/1000 |      2s |        -12.86308 |  |   0.655862 |   -15.76808 |
|   25/1000 |      2s |        -14.82368 |  |   0.656834 |   -17.12890 |
|   26/1000 |      2s |        -14.95474 |  |   0.657587 |   -15.23044 |
|   27/1000 |      2s |        -14.38086 |  |   0.670121 |   -18.44668 |
|   28/1000 |      2s |        -16.65793 |  |   0.674758 |   -19.62969 |
|   29/1000 |      2s |        -16.61157 |  |   0.672153 |   -16.67946 |
|   30/1000 |      2s |        -15.17245 |  |   0.664841 |   -10.10698 |
|   31/1000 |      2s |        -16.46569 |  |   0.679761 |   -19.50545 |
|   32/1000 |      2s |        -17.35324 |  |   0.676372 |   -20.33705 |
|   33/1000 |      2s |        -17.40383 |  |   0.687416 |   -21.59623 |
|   34/1000 |      2s |        -17.07802 |  |   0.678033 |   -16.32320 |
|   35/1000 |      2s |        -17.14994 |  |   0.689352 |   -17.45164 |
|   36/1000 |      2s |        -17.35295 |  |   0.703020 |   -22.19593 |
|   37/1000 |      2s |        -17.42773 |  |   0.692727 |   -16.69937 |
|   38/1000 |      2s |        -18.35174 |  |   0.686633 |   -21.45407 |
|   39/1000 |      2s |        -18.22227 |  |   0.700201 |   -22.62529 |
|   40/1000 |      2s |        -16.23408 |  |   0.680955 |   -13.89881 |
|   41/1000 |      2s |        -19.62162 |  |   0.707403 |   -20.87498 |
|   42/1000 |      2s |        -20.24776 |  |   0.718851 |   -23.79476 |
|   43/1000 |      2s |        -19.67531 |  |   0.713309 |   -22.32958 |
|   44/1000 |      2s |        -19.96696 |  |   0.714281 |   -22.38154 |
|   45/1000 |      2s |        -19.94752 |  |   0.720786 |   -22.06709 |
|   46/1000 |      2s |        -20.36901 |  |   0.725001 |   -21.00716 |
