Selected mat file:
otherR/R_9.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      6s |       9999.00000 |  |   0.035578 |    21.34620 |
|    2/1000 |      6s |         12.70506 |  |   0.175966 |     1.73934 |
|    3/1000 |      6s |         -0.80247 |  |   0.452570 |    -2.49694 |
|    4/1000 |      6s |         -8.18416 |  |   0.572348 |    -5.79741 |
|    5/1000 |      6s |        -11.95753 |  |   0.650987 |   -15.25524 |
|    6/1000 |      6s |        -14.67784 |  |   0.678782 |   -18.91033 |
|    7/1000 |      6s |        -16.39473 |  |   0.673664 |   -14.29838 |
|    8/1000 |      6s |        -17.68648 |  |   0.702465 |   -22.32488 |
|    9/1000 |      6s |        -19.45648 |  |   0.701672 |   -20.06401 |
|   10/1000 |      6s |        -19.98248 |  |   0.709510 |   -23.97369 |
|   11/1000 |      6s |        -20.74324 |  |   0.717415 |   -25.44119 |
|   12/1000 |      6s |        -21.72260 |  |   0.712021 |   -23.23490 |
|   13/1000 |      6s |        -21.33575 |  |   0.717162 |   -26.10549 |
|   14/1000 |      6s |        -22.71141 |  |   0.722530 |   -26.79445 |
|   15/1000 |      6s |        -23.22540 |  |   0.717345 |   -27.02465 |
|   16/1000 |      6s |        -23.86287 |  |   0.717037 |   -27.35573 |
|   17/1000 |      6s |        -24.46091 |  |   0.727899 |   -27.18815 |
|   18/1000 |      6s |        -25.00963 |  |   0.726912 |   -28.30445 |
|   19/1000 |      6s |        -25.10224 |  |   0.729200 |   -28.65314 |
|   20/1000 |      6s |        -25.40965 |  |   0.732242 |   -28.51816 |
|   21/1000 |      6s |        -25.86007 |  |   0.732326 |   -26.48704 |
|   22/1000 |      6s |        -26.11756 |  |   0.732768 |   -28.68505 |
|   23/1000 |      6s |        -19.18460 |  |   0.735780 |   -28.81279 |
|   24/1000 |      6s |        -26.68485 |  |   0.735022 |   -28.17340 |
|   25/1000 |      6s |        -27.00872 |  |   0.740267 |   -29.69913 |
|   26/1000 |      6s |        -27.06343 |  |   0.734015 |   -26.37499 |
|   27/1000 |      6s |        -27.37688 |  |   0.740488 |   -31.80562 |
|   28/1000 |      6s |        -27.74072 |  |   0.743825 |   -29.20846 |
|   29/1000 |      6s |        -27.88274 |  |   0.746346 |   -30.03333 |
|   30/1000 |      6s |        -28.23283 |  |   0.747705 |   -30.73182 |
|   31/1000 |      6s |        -28.36610 |  |   0.743385 |   -28.86428 |
|   32/1000 |      6s |        -28.71480 |  |   0.754315 |   -33.14009 |
|   33/1000 |      6s |        -28.77389 |  |   0.757994 |   -32.26725 |
|   34/1000 |      6s |        -29.16925 |  |   0.758329 |   -31.05294 |
|   35/1000 |      6s |        -29.31831 |  |   0.757161 |   -32.40074 |
|   36/1000 |      6s |        -29.21630 |  |   0.766610 |   -33.38910 |
|   37/1000 |      6s |        -29.69127 |  |   0.767273 |   -32.85031 |
|   38/1000 |      6s |        -29.31518 |  |   0.770475 |   -33.53438 |
|   39/1000 |      6s |        -11.42208 |  |   0.767146 |   -31.99717 |
