Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   71/1000 |      5s |        -30.87158 |  |   0.739826 |   -30.41742 |
|   72/1000 |      5s |        -31.02457 |  |   0.742666 |   -32.60214 |
|   73/1000 |      5s |        -31.17147 |  |   0.743522 |   -32.73805 |
|   74/1000 |      5s |        -31.33844 |  |   0.743570 |   -33.13684 |
|   75/1000 |      5s |        -31.50300 |  |   0.748337 |   -35.50121 |
|   76/1000 |      6s |        -31.42845 |  |   0.744340 |   -34.70067 |
|   77/1000 |      5s |        -31.47547 |  |   0.743976 |   -34.04201 |
|   78/1000 |      5s |        -31.66063 |  |   0.745078 |   -32.72293 |
|   79/1000 |      5s |        -31.65087 |  |   0.752510 |   -34.44620 |
|   80/1000 |      5s |        -31.78900 |  |   0.745878 |   -33.89074 |
|   81/1000 |      5s |        -31.78914 |  |   0.746963 |   -33.75902 |
|   82/1000 |      5s |        -31.94081 |  |   0.748149 |   -34.25907 |
|   83/1000 |      5s |        -32.00243 |  |   0.756524 |   -34.52977 |
|   84/1000 |      6s |        -31.79780 |  |   0.750313 |   -33.90826 |
|   85/1000 |      6s |        -32.18550 |  |   0.750499 |   -33.64014 |
|   86/1000 |      5s |        -32.21879 |  |   0.747873 |   -34.89916 |
|   87/1000 |      5s |        -32.08112 |  |   0.750711 |   -34.21134 |
|   88/1000 |      5s |        -32.29644 |  |   0.757872 |   -34.81592 |
|   89/1000 |      5s |        -32.29766 |  |   0.754488 |   -35.70881 |
|   90/1000 |      5s |        -32.44303 |  |   0.756460 |   -36.18544 |
|   91/1000 |      5s |        -32.49857 |  |   0.754054 |   -35.80308 |
|   92/1000 |      5s |        -32.50042 |  |   0.754062 |   -35.68094 |
|   93/1000 |      5s |        -32.56704 |  |   0.751377 |   -33.87176 |
|   94/1000 |      5s |        -32.72868 |  |   0.755135 |   -36.14609 |
