Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  2
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  100
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      4s |          2.46713 |  |   0.375754 |    -4.62837 |
|    2/1000 |      4s |         -8.53644 |  |   0.516921 |    -7.55353 |
|    3/1000 |      4s |        -12.04225 |  |   0.572194 |   -14.42427 |
|    4/1000 |      3s |        -13.92169 |  |   0.603147 |   -16.41209 |
|    5/1000 |      3s |        -15.15921 |  |   0.608913 |   -17.61362 |
|    6/1000 |      3s |        -16.03191 |  |   0.617794 |   -18.22882 |
|    7/1000 |      4s |        -16.73933 |  |   0.630269 |   -18.38615 |
|    8/1000 |      3s |        -17.43851 |  |   0.638818 |   -20.04205 |
|    9/1000 |      3s |        -17.82163 |  |   0.641768 |   -19.35850 |
|   10/1000 |      3s |        -18.25957 |  |   0.646564 |   -20.70934 |
|   11/1000 |      3s |        -18.60943 |  |   0.652577 |   -20.62671 |
|   12/1000 |      3s |        -18.87418 |  |   0.656474 |   -21.94435 |
|   13/1000 |      4s |        -19.14020 |  |   0.660570 |   -22.21753 |
|   14/1000 |      3s |        -19.28789 |  |   0.660065 |   -22.19155 |
|   15/1000 |      3s |        -19.58081 |  |   0.664216 |   -22.34589 |
|   16/1000 |      3s |        -19.73842 |  |   0.663974 |   -22.01309 |
|   17/1000 |      4s |        -19.93710 |  |   0.673311 |   -23.29586 |
|   18/1000 |      3s |        -20.13202 |  |   0.673466 |   -23.23012 |
|   19/1000 |      4s |        -20.32796 |  |   0.670086 |   -23.34646 |
|   20/1000 |      4s |        -20.41375 |  |   0.679314 |   -22.97909 |
|   21/1000 |      4s |        -20.58623 |  |   0.683861 |   -23.13211 |
|   22/1000 |      3s |        -20.70552 |  |   0.681164 |   -23.98138 |
|   23/1000 |      3s |        -20.80620 |  |   0.685784 |   -23.63920 |
|   24/1000 |      3s |        -20.99543 |  |   0.692794 |   -24.29007 |
|   25/1000 |      3s |        -20.99696 |  |   0.695384 |   -24.28702 |
|   26/1000 |      3s |        -21.29575 |  |   0.697510 |   -24.45410 |
|   27/1000 |      3s |        -21.35553 |  |   0.699823 |   -24.40806 |
|   28/1000 |      3s |        -21.39269 |  |   0.705369 |   -23.94296 |
|   29/1000 |      3s |        -21.54240 |  |   0.701656 |   -24.46005 |
|   30/1000 |      3s |        -21.67754 |  |   0.714444 |   -25.41179 |
|   31/1000 |      3s |        -21.87913 |  |   0.716933 |   -23.58409 |
|   32/1000 |      4s |        -21.94878 |  |   0.717646 |   -24.48107 |
|   33/1000 |      4s |        -22.06112 |  |   0.730412 |   -25.33883 |
|   34/1000 |      3s |        -22.21422 |  |   0.734842 |   -25.36148 |
|   35/1000 |      3s |        -22.29160 |  |   0.740968 |   -25.10908 |
|   36/1000 |      3s |        -22.42809 |  |   0.744816 |   -25.71152 |
|   37/1000 |      3s |        -22.63396 |  |   0.749892 |   -25.68325 |
|   38/1000 |      3s |        -22.78371 |  |   0.746466 |   -26.24420 |
|   39/1000 |      3s |        -22.89142 |  |   0.753295 |   -26.48915 |
|   40/1000 |      3s |        -22.93917 |  |   0.757176 |   -26.53762 |
|   41/1000 |      3s |        -23.11349 |  |   0.754897 |   -26.65458 |
|   42/1000 |      3s |        -23.17666 |  |   0.754963 |   -26.74631 |
|   43/1000 |      4s |        -23.27758 |  |   0.752952 |   -27.15330 |
|   44/1000 |      3s |        -23.37778 |  |   0.755149 |   -26.80565 |
|   45/1000 |      3s |        -23.39667 |  |   0.755456 |   -27.25875 |
|   46/1000 |      3s |        -23.45477 |  |   0.755685 |   -27.35702 |
|   47/1000 |      3s |        -23.49913 |  |   0.755193 |   -27.19705 |
|   48/1000 |      3s |        -23.53986 |  |   0.754844 |   -27.02947 |
|   49/1000 |      3s |        -23.69706 |  |   0.756848 |   -27.43569 |
|   50/1000 |      3s |        -23.67350 |  |   0.755836 |   -27.15612 |
|   51/1000 |      3s |        -23.76592 |  |   0.753440 |   -27.51882 |
|   52/1000 |      3s |        -23.83140 |  |   0.754505 |   -27.50517 |
|   53/1000 |      3s |        -23.88423 |  |   0.754397 |   -27.73580 |
|   54/1000 |      3s |        -23.88728 |  |   0.755825 |   -27.40898 |
|   55/1000 |      3s |        -23.98501 |  |   0.754845 |   -27.42647 |
|   56/1000 |      3s |        -23.87440 |  |   0.754397 |   -27.76709 |
|   57/1000 |      3s |        -23.93331 |  |   0.756186 |   -27.96081 |
|   58/1000 |      3s |        -24.05367 |  |   0.755248 |   -27.73559 |
|   59/1000 |      3s |        -24.10261 |  |   0.750688 |   -28.41557 |
|   60/1000 |      3s |        -24.18923 |  |   0.754639 |   -28.29076 |
|   61/1000 |      3s |        -24.21047 |  |   0.752701 |   -27.90836 |
|   62/1000 |      3s |        -24.22081 |  |   0.754379 |   -28.38147 |
|   63/1000 |      3s |        -24.22126 |  |   0.753765 |   -28.42675 |
|   64/1000 |      3s |        -24.30725 |  |   0.751641 |   -28.41709 |
|   65/1000 |      3s |        -24.31828 |  |   0.751679 |   -28.09974 |
|   66/1000 |      3s |        -24.41950 |  |   0.752994 |   -28.41090 |
|   67/1000 |      3s |        -24.31927 |  |   0.750499 |   -28.24498 |
|   68/1000 |      3s |        -24.43927 |  |   0.747298 |   -28.21640 |
|   69/1000 |      3s |        -24.51334 |  |   0.753275 |   -28.68730 |
|   70/1000 |      3s |        -24.49334 |  |   0.751285 |   -28.68287 |
|   71/1000 |      3s |        -24.57505 |  |   0.750491 |   -28.77063 |
|   72/1000 |      3s |        -24.59335 |  |   0.750943 |   -28.91517 |
|   73/1000 |      3s |        -24.61594 |  |   0.751436 |   -28.94002 |
|   74/1000 |      4s |        -24.59067 |  |   0.747117 |   -28.94122 |
|   75/1000 |      4s |        -24.67705 |  |   0.749655 |   -28.75255 |
|   76/1000 |      3s |        -24.75877 |  |   0.749483 |   -28.95414 |
|   77/1000 |      3s |        -24.75456 |  |   0.751835 |   -28.69257 |
|   78/1000 |      3s |        -24.79746 |  |   0.748567 |   -29.00246 |
|   79/1000 |      3s |        -24.82548 |  |   0.748297 |   -29.11615 |
|   80/1000 |      3s |        -24.82195 |  |   0.748271 |   -29.07289 |
|   81/1000 |      3s |        -24.85207 |  |   0.747344 |   -28.88406 |
|   82/1000 |      3s |        -24.84216 |  |   0.747233 |   -29.21387 |
|   83/1000 |      3s |        -24.88972 |  |   0.747637 |   -29.17596 |
|   84/1000 |      3s |        -24.88132 |  |   0.745322 |   -29.10038 |
|   85/1000 |      3s |        -24.93274 |  |   0.746884 |   -29.13622 |
|   86/1000 |      3s |        -24.99751 |  |   0.746612 |   -29.22750 |
|   87/1000 |      3s |        -24.98797 |  |   0.748778 |   -29.25970 |
|   88/1000 |      4s |        -25.00916 |  |   0.743695 |   -29.13523 |
|   89/1000 |      3s |        -24.92538 |  |   0.742818 |   -29.09034 |
|   90/1000 |      3s |        -25.00129 |  |   0.745496 |   -29.30414 |
|   91/1000 |      3s |        -25.10077 |  |   0.743219 |   -29.24625 |
|   92/1000 |      3s |        -25.11644 |  |   0.743159 |   -29.09436 |
|   93/1000 |      3s |        -25.12134 |  |   0.747773 |   -29.57061 |
|   94/1000 |      3s |        -25.15813 |  |   0.745148 |   -29.59632 |
|   95/1000 |      3s |        -25.24868 |  |   0.743170 |   -29.42165 |
|   96/1000 |      3s |        -25.17371 |  |   0.745064 |   -29.71112 |
|   97/1000 |      3s |        -25.18593 |  |   0.743002 |   -29.15514 |
|   98/1000 |      3s |        -25.26835 |  |   0.742082 |   -29.70576 |
|   99/1000 |      4s |        -25.23525 |  |   0.743801 |   -29.59511 |
|  100/1000 |      4s |        -25.24775 |  |   0.742655 |   -29.23669 |
|  101/1000 |      3s |        -25.47028 |  |   0.743156 |   -29.87157 |
|  102/1000 |      3s |        -25.52606 |  |   0.744410 |   -29.80530 |
|  103/1000 |      4s |        -25.51715 |  |   0.742003 |   -29.91246 |
|  104/1000 |      4s |        -25.50059 |  |   0.742822 |   -29.77304 |
|  105/1000 |      3s |        -25.52472 |  |   0.741534 |   -29.74792 |
|  106/1000 |      3s |        -25.57487 |  |   0.741198 |   -29.86652 |
|  107/1000 |      3s |        -25.50114 |  |   0.745052 |   -29.88235 |
|  108/1000 |      3s |        -25.59144 |  |   0.743782 |   -29.98418 |
|  109/1000 |      3s |        -25.66207 |  |   0.741024 |   -30.00823 |
|  110/1000 |      4s |        -25.59401 |  |   0.744178 |   -30.07874 |
|  111/1000 |      3s |        -25.61406 |  |   0.738780 |   -30.12683 |
|  112/1000 |      3s |        -25.66063 |  |   0.744745 |   -29.92947 |
|  113/1000 |      3s |        -25.65225 |  |   0.740375 |   -30.00528 |
|  114/1000 |      3s |        -25.70279 |  |   0.738834 |   -30.13730 |
|  115/1000 |      4s |        -25.73316 |  |   0.741132 |   -30.22627 |
|  116/1000 |      3s |        -25.74277 |  |   0.743264 |   -30.19182 |
|  117/1000 |      3s |        -25.68665 |  |   0.741615 |   -30.19222 |
|  118/1000 |      3s |        -25.79171 |  |   0.740735 |   -30.21965 |
|  119/1000 |      3s |        -25.80819 |  |   0.738628 |   -30.17484 |
|  120/1000 |      3s |        -25.77698 |  |   0.740851 |   -30.25288 |
|  121/1000 |      3s |        -25.77340 |  |   0.739779 |   -30.15401 |
|  122/1000 |      3s |        -25.78740 |  |   0.740535 |   -30.36082 |
|  123/1000 |      3s |        -25.80659 |  |   0.739690 |   -30.35780 |
|  124/1000 |      3s |        -25.88278 |  |   0.740146 |   -30.40900 |
|  125/1000 |      3s |        -25.85311 |  |   0.740772 |   -30.31010 |
|  126/1000 |      3s |        -25.84148 |  |   0.739109 |   -30.16477 |
|  127/1000 |      3s |        -25.84183 |  |   0.738544 |   -30.39870 |
|  128/1000 |      3s |        -25.93464 |  |   0.738207 |   -30.39230 |
|  129/1000 |      3s |        -25.94681 |  |   0.738657 |   -30.41619 |
|  130/1000 |      4s |        -25.95507 |  |   0.739974 |   -30.46943 |
|  131/1000 |      3s |        -25.98305 |  |   0.739001 |   -30.36197 |
|  132/1000 |      3s |        -26.02165 |  |   0.738923 |   -30.32183 |
|  133/1000 |      3s |        -26.00303 |  |   0.739459 |   -30.49931 |
|  134/1000 |      3s |        -25.98066 |  |   0.740151 |   -30.12077 |
|  135/1000 |      3s |        -26.01174 |  |   0.740606 |   -30.37801 |
|  136/1000 |      3s |        -26.06553 |  |   0.742163 |   -30.60343 |
|  137/1000 |      3s |        -26.01986 |  |   0.737920 |   -30.58457 |
|  138/1000 |      3s |        -26.06608 |  |   0.740307 |   -30.69240 |
|  139/1000 |      3s |        -26.01545 |  |   0.739533 |   -30.48957 |
|  140/1000 |      3s |        -26.10955 |  |   0.737882 |   -30.50296 |
|  141/1000 |      3s |        -26.06850 |  |   0.740778 |   -30.68930 |
|  142/1000 |      3s |        -26.12163 |  |   0.737638 |   -30.48905 |
|  143/1000 |      3s |        -26.14821 |  |   0.735589 |   -30.39932 |
|  144/1000 |      3s |        -26.10299 |  |   0.742034 |   -30.45863 |
|  145/1000 |      4s |        -26.11517 |  |   0.741664 |   -30.58731 |
|  146/1000 |      3s |        -26.16342 |  |   0.736766 |   -30.58808 |
|  147/1000 |      3s |        -26.14408 |  |   0.738003 |   -30.52560 |
|  148/1000 |      3s |        -26.14217 |  |   0.737843 |   -30.64186 |
|  149/1000 |      3s |        -26.13373 |  |   0.740263 |   -30.49590 |
|  150/1000 |      3s |        -26.18133 |  |   0.740063 |   -30.77702 |
|  151/1000 |      3s |        -26.18142 |  |   0.735862 |   -30.59071 |
|  152/1000 |      3s |        -26.21757 |  |   0.738024 |   -30.69225 |
|  153/1000 |      3s |        -26.17777 |  |   0.737524 |   -30.77780 |
|  154/1000 |      3s |        -26.17852 |  |   0.735752 |   -30.45260 |
|  155/1000 |      3s |        -26.22794 |  |   0.735891 |   -30.58937 |
|  156/1000 |      4s |        -26.19840 |  |   0.737106 |   -30.78499 |
|  157/1000 |      3s |        -26.27648 |  |   0.737745 |   -30.76872 |
|  158/1000 |      3s |        -26.28022 |  |   0.736151 |   -30.71606 |
|  159/1000 |      3s |        -26.31615 |  |   0.735780 |   -30.75210 |
|  160/1000 |      3s |        -26.31523 |  |   0.737521 |   -30.87517 |
|  161/1000 |      3s |        -26.32095 |  |   0.736170 |   -30.68797 |
|  162/1000 |      3s |        -26.34880 |  |   0.734002 |   -30.85773 |
|  163/1000 |      3s |        -26.36080 |  |   0.737093 |   -31.00938 |
|  164/1000 |      3s |        -26.33192 |  |   0.737140 |   -30.88301 |
|  165/1000 |      3s |        -26.40892 |  |   0.737933 |   -30.90195 |
|  166/1000 |      3s |        -26.38718 |  |   0.737005 |   -30.93493 |
|  167/1000 |      3s |        -26.38301 |  |   0.736197 |   -30.82276 |
|  168/1000 |      3s |        -26.42205 |  |   0.735958 |   -30.87549 |
|  169/1000 |      3s |        -26.37704 |  |   0.740037 |   -30.97936 |
|  170/1000 |      3s |        -26.42712 |  |   0.735960 |   -30.84648 |
|  171/1000 |      3s |        -26.46234 |  |   0.734414 |   -30.99086 |
|  172/1000 |      3s |        -26.38516 |  |   0.733318 |   -30.95125 |
|  173/1000 |      3s |        -26.41377 |  |   0.735967 |   -30.98167 |
|  174/1000 |      3s |        -26.38486 |  |   0.735304 |   -30.98028 |
|  175/1000 |      4s |        -26.45820 |  |   0.731880 |   -30.99860 |
|  176/1000 |      4s |        -26.44526 |  |   0.735941 |   -31.07972 |
|  177/1000 |      3s |        -26.47826 |  |   0.732984 |   -30.97170 |
|  178/1000 |      3s |        -26.46804 |  |   0.735628 |   -30.96353 |
|  179/1000 |      3s |        -26.52568 |  |   0.734081 |   -31.08198 |
|  180/1000 |      3s |        -26.48520 |  |   0.735014 |   -30.97507 |
