Selected mat file:
otherR/R_15.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   71/1000 |      8s |        -27.68241 |  |   0.688698 |   -28.46520 |
|   72/1000 |      8s |        -27.94214 |  |   0.693521 |   -26.24379 |
|   73/1000 |      8s |        -27.98054 |  |   0.708117 |   -29.31513 |
|   74/1000 |      8s |        -27.93869 |  |   0.712692 |   -31.20216 |
|   75/1000 |      8s |        -28.02739 |  |   0.712561 |   -31.41336 |
|   76/1000 |      8s |        -28.15399 |  |   0.704887 |   -30.38580 |
|   77/1000 |      8s |        -28.19918 |  |   0.714273 |   -31.96119 |
|   78/1000 |      8s |        -28.31625 |  |   0.713529 |   -30.84276 |
|   79/1000 |      8s |        -28.17311 |  |   0.714357 |   -31.52534 |
|   80/1000 |      8s |        -28.46072 |  |   0.717205 |   -29.83791 |
|   81/1000 |      8s |        -28.59006 |  |   0.715425 |   -30.51658 |
|   82/1000 |      8s |        -28.42833 |  |   0.712121 |   -28.60384 |
|   83/1000 |      8s |        -28.58292 |  |   0.716994 |   -31.86910 |
|   84/1000 |      8s |        -28.28850 |  |   0.715705 |   -30.12497 |
|   85/1000 |      8s |        -28.81776 |  |   0.722048 |   -32.42875 |
|   86/1000 |      8s |        -28.80052 |  |   0.729246 |   -32.14005 |
|   87/1000 |      8s |        -28.92279 |  |   0.725105 |   -31.18045 |
|   88/1000 |      8s |        -28.78112 |  |   0.727678 |   -31.67279 |
|   89/1000 |      8s |        -28.95952 |  |   0.733061 |   -32.57213 |
