Selected mat file:
otherR/R_12.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      7s |       3075.94745 |  |   0.038677 |    17.98242 |
|    2/1000 |      6s |          8.59868 |  |   0.260777 |    -0.52944 |
|    3/1000 |      7s |         -1.94787 |  |   0.381891 |    -6.15177 |
|    4/1000 |      6s |         -6.08895 |  |   0.393607 |    -0.06285 |
|    5/1000 |      7s |         -9.01941 |  |   0.470641 |   -12.54473 |
|    6/1000 |      6s |        -10.27805 |  |   0.482656 |   -13.01493 |
|    7/1000 |      6s |        -12.08656 |  |   0.494158 |   -16.14534 |
|    8/1000 |      6s |        -13.27609 |  |   0.475412 |    -9.25703 |
|    9/1000 |      6s |        -14.07910 |  |   0.499917 |   -17.32560 |
|   10/1000 |      6s |        -15.01095 |  |   0.508598 |   -16.33832 |
|   11/1000 |      6s |        -15.34629 |  |   0.512635 |   -17.83524 |
|   12/1000 |      6s |        -16.38920 |  |   0.518537 |   -19.54881 |
|   13/1000 |      7s |        -16.58765 |  |   0.519756 |   -18.76593 |
|   14/1000 |      6s |        -17.60596 |  |   0.529329 |   -20.93632 |
|   15/1000 |      7s |        -18.05382 |  |   0.536265 |   -19.60839 |
|   16/1000 |      6s |        -18.17732 |  |   0.541289 |   -21.42550 |
|   17/1000 |      6s |        -18.85595 |  |   0.547241 |   -19.10236 |
|   18/1000 |      6s |        -19.45531 |  |   0.547155 |   -19.38233 |
|   19/1000 |      6s |        -18.57616 |  |   0.562239 |   -22.07178 |
|   20/1000 |      6s |        -20.00462 |  |   0.558677 |   -21.78025 |
|   21/1000 |      6s |        -20.25062 |  |   0.567634 |   -23.43935 |
|   22/1000 |      6s |        -20.73872 |  |   0.575051 |   -23.46293 |
|   23/1000 |      6s |        -20.98163 |  |   0.584482 |   -24.48978 |
|   24/1000 |      6s |        -21.50105 |  |   0.586269 |   -24.57719 |
|   25/1000 |      6s |        -21.39133 |  |   0.594081 |   -24.04579 |
|   26/1000 |      6s |        -21.73455 |  |   0.582641 |   -17.80398 |
|   27/1000 |      6s |        -22.11676 |  |   0.604038 |   -25.43382 |
|   28/1000 |      6s |        -22.43622 |  |   0.611051 |   -26.08333 |
|   29/1000 |      6s |        -22.61641 |  |   0.610062 |   -25.37370 |
|   30/1000 |      6s |        -22.89304 |  |   0.612435 |   -26.06662 |
|   31/1000 |      6s |        -23.08034 |  |   0.613997 |   -25.99643 |
|   32/1000 |      6s |        -23.17782 |  |   0.624825 |   -26.10326 |
|   33/1000 |      6s |        -23.34125 |  |   0.618689 |   -26.62993 |
|   34/1000 |      6s |        -23.71747 |  |   0.618009 |   -23.95984 |
|   35/1000 |      6s |        -23.81186 |  |   0.621954 |   -26.27895 |
|   36/1000 |      6s |        -24.07477 |  |   0.620974 |   -24.69530 |
|   37/1000 |      6s |        -24.14403 |  |   0.628374 |   -25.77213 |
|   38/1000 |      6s |        -24.51941 |  |   0.634428 |   -26.87860 |
|   39/1000 |      6s |        -24.61859 |  |   0.634726 |   -26.59367 |
|   40/1000 |      6s |        -24.24908 |  |   0.635901 |   -23.52385 |
|   41/1000 |      6s |        -24.59988 |  |   0.643327 |   -27.77683 |
|   42/1000 |      6s |        -24.99425 |  |   0.641724 |   -27.58177 |
|   43/1000 |      6s |        -25.18638 |  |   0.643888 |   -28.40038 |
|   44/1000 |      6s |        -25.21076 |  |   0.647880 |   -27.08734 |
|   45/1000 |      6s |        -25.36249 |  |   0.652628 |   -27.55853 |
|   46/1000 |      6s |        -25.62366 |  |   0.644246 |   -24.38493 |
|   47/1000 |      6s |        -25.92304 |  |   0.659817 |   -29.10827 |
|   48/1000 |      6s |        -25.76234 |  |   0.659520 |   -28.40770 |
|   49/1000 |      6s |        -26.17654 |  |   0.664885 |   -29.31079 |
|   50/1000 |      6s |        -26.14429 |  |   0.651473 |   -27.92245 |
|   51/1000 |      6s |        -26.23941 |  |   0.660923 |   -26.01378 |
|   52/1000 |      6s |        -26.15203 |  |   0.662394 |   -26.84677 |
|   53/1000 |      6s |        -26.31111 |  |   0.667703 |   -28.88163 |
|   54/1000 |      6s |        -26.59731 |  |   0.677895 |   -29.41360 |
|   55/1000 |      6s |        -26.72250 |  |   0.672308 |   -28.21929 |
|   56/1000 |      6s |        -26.55427 |  |   0.674943 |   -29.19153 |
|   57/1000 |      6s |        -26.98190 |  |   0.681333 |   -28.66006 |
|   58/1000 |      6s |        -27.00311 |  |   0.627136 |   -25.91413 |
|   59/1000 |      6s |        -26.82390 |  |   0.684628 |   -30.55426 |
|   60/1000 |      6s |        -27.15519 |  |   0.687236 |   -30.52191 |
|   61/1000 |      6s |        -27.14248 |  |   0.684757 |   -29.17064 |
|   62/1000 |      6s |        -27.51100 |  |   0.674262 |   -28.58722 |
|   63/1000 |      6s |        -27.56431 |  |   0.689682 |   -30.79831 |
|   64/1000 |      6s |        -27.13434 |  |   0.660273 |   -25.95700 |
|   65/1000 |      6s |        -27.52778 |  |   0.674593 |   -29.87897 |
|   66/1000 |      6s |        -27.97157 |  |   0.690140 |   -29.45515 |
|   67/1000 |      6s |        -27.72049 |  |   0.697026 |   -31.42013 |
|   68/1000 |      6s |        -28.03789 |  |   0.691254 |   -31.28661 |
|   69/1000 |      6s |        -27.90601 |  |   0.693658 |   -29.48922 |
|   70/1000 |      6s |        -28.08049 |  |   0.693657 |   -29.81381 |
|   71/1000 |      6s |        -28.30034 |  |   0.702499 |   -31.62725 |
|   72/1000 |      6s |        -28.43431 |  |   0.690257 |   -30.19190 |
|   73/1000 |      6s |        -27.99442 |  |   0.704883 |   -31.80848 |
|   74/1000 |      6s |        -28.49306 |  |   0.705302 |   -31.91374 |
|   75/1000 |      6s |        -28.41168 |  |   0.704702 |   -31.83671 |
|   76/1000 |      6s |        -28.61186 |  |   0.707809 |   -32.12337 |
|   77/1000 |      6s |        -28.63973 |  |   0.704681 |   -31.84846 |
|   78/1000 |      6s |        -28.85339 |  |   0.709563 |   -31.34634 |
|   79/1000 |      6s |        -28.95871 |  |   0.704998 |   -32.70862 |
|   80/1000 |      6s |        -29.23358 |  |   0.711244 |   -31.60297 |
|   81/1000 |      6s |        -29.20959 |  |   0.717339 |   -32.45777 |
|   82/1000 |      6s |        -28.90090 |  |   0.713678 |   -31.83610 |
|   83/1000 |      6s |        -29.19251 |  |   0.717164 |   -31.66891 |
|   84/1000 |      6s |        -29.28109 |  |   0.717563 |   -31.95337 |
|   85/1000 |      6s |        -29.40222 |  |   0.719743 |   -32.35509 |
|   86/1000 |      6s |        -29.28715 |  |   0.723204 |   -32.12774 |
|   87/1000 |      6s |        -29.53578 |  |   0.729369 |   -33.36468 |
|   88/1000 |      6s |        -29.66373 |  |   0.710787 |   -30.65681 |
|   89/1000 |      6s |        -29.46585 |  |   0.728497 |   -33.33533 |
|   90/1000 |      6s |        -29.70529 |  |   0.729840 |   -32.73785 |
|   91/1000 |      6s |        -29.77695 |  |   0.718229 |   -31.79858 |
|   92/1000 |      6s |        -29.67734 |  |   0.696898 |   -29.45148 |
|   93/1000 |      6s |        -29.72963 |  |   0.722655 |   -32.57680 |
|   94/1000 |      6s |        -29.99252 |  |   0.732356 |   -31.87217 |
|   95/1000 |      6s |        -29.95955 |  |   0.730702 |   -31.49190 |
|   96/1000 |      6s |        -30.03590 |  |   0.733820 |   -32.89990 |
|   97/1000 |      6s |        -30.06085 |  |   0.726054 |   -32.61491 |
