Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.92
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      3s |       9999.00000 |  |   0.031844 |    38.08046 |
|    2/1000 |      3s |         27.82922 |  |   0.046584 |    17.11308 |
|    3/1000 |      3s |         13.30475 |  |   0.117613 |     6.23544 |
|    4/1000 |      3s |          5.73880 |  |   0.215206 |     4.35731 |
|    5/1000 |      3s |          1.45996 |  |   0.327913 |    -1.83228 |
|    6/1000 |      3s |         -2.64137 |  |   0.401751 |    -3.32118 |
|    7/1000 |      3s |         -5.57531 |  |   0.457983 |    -9.15066 |
|    8/1000 |      3s |         -7.58473 |  |   0.502802 |   -11.40687 |
|    9/1000 |      3s |         -8.96996 |  |   0.498269 |    -6.89118 |
|   10/1000 |      3s |         -9.89854 |  |   0.505392 |    -3.87062 |
|   11/1000 |      3s |        -10.33521 |  |   0.554702 |   -10.25308 |
|   12/1000 |      3s |        -10.70926 |  |   0.594809 |   -16.15291 |
|   13/1000 |      3s |        -12.81885 |  |   0.617635 |   -17.16763 |
|   14/1000 |      3s |        -14.55217 |  |   0.635498 |   -18.09471 |
|   15/1000 |      3s |        -15.79787 |  |   0.643337 |   -19.75098 |
|   16/1000 |      3s |        -16.18509 |  |   0.634705 |   -11.32181 |
|   17/1000 |      3s |        -16.49480 |  |   0.662094 |   -18.25774 |
|   18/1000 |      3s |        -17.30358 |  |   0.666552 |   -20.97442 |
|   19/1000 |      3s |        -18.47174 |  |   0.673768 |   -21.53292 |
|   20/1000 |      3s |        -17.90747 |  |   0.676462 |   -16.31019 |
|   21/1000 |      3s |        -19.70529 |  |   0.675556 |   -22.50235 |
|   22/1000 |      3s |        -19.37948 |  |   0.685293 |   -23.76215 |
|   23/1000 |      3s |        -20.32921 |  |   0.687889 |   -18.48314 |
|   24/1000 |      3s |        -20.07611 |  |   0.697781 |   -22.99781 |
|   25/1000 |      3s |        -20.75772 |  |   0.687978 |   -20.50713 |
|   26/1000 |      3s |        -21.27826 |  |   0.706971 |   -23.78656 |
|   27/1000 |      3s |        -20.93637 |  |   0.706067 |   -22.21421 |
|   28/1000 |      3s |        -22.38020 |  |   0.701487 |   -19.29053 |
|   29/1000 |      3s |        -22.19541 |  |   0.713890 |   -23.27306 |
|   30/1000 |      3s |        -22.76168 |  |   0.722826 |   -25.54286 |
|   31/1000 |      3s |        -21.10146 |  |   0.727802 |   -26.99008 |
|   32/1000 |      3s |        -22.62385 |  |   0.733582 |   -26.45414 |
|   33/1000 |      3s |        -23.36973 |  |   0.736152 |   -26.47992 |
|   34/1000 |      3s |        -24.18364 |  |   0.736720 |   -22.68518 |
|   35/1000 |      3s |        -23.62403 |  |   0.745678 |   -27.54212 |
|   36/1000 |      3s |        -24.31187 |  |   0.741146 |   -26.67664 |
|   37/1000 |      3s |        -24.27906 |  |   0.744661 |   -27.64128 |
|   38/1000 |      3s |        -24.07608 |  |   0.748229 |   -27.26986 |
|   39/1000 |      3s |        -25.30258 |  |   0.753435 |   -29.05126 |
|   40/1000 |      3s |        -25.18811 |  |   0.722209 |   -24.16217 |
|   41/1000 |      3s |        -24.88091 |  |   0.754382 |   -29.12444 |
|   42/1000 |      3s |        -26.02221 |  |   0.748118 |   -26.64269 |
|   43/1000 |      3s |        -23.33257 |  |   0.767133 |   -28.48227 |
|   44/1000 |      3s |        -25.61372 |  |   0.754864 |   -26.47303 |
|   45/1000 |      3s |        -25.94030 |  |   0.760107 |   -28.03375 |
|   46/1000 |      3s |        -26.44414 |  |   0.749416 |   -23.42357 |
|   47/1000 |      3s |        -26.29466 |  |   0.763553 |   -27.22383 |
|   48/1000 |      3s |        -26.48335 |  |   0.768757 |   -30.65114 |
|   49/1000 |      3s |        -26.93680 |  |   0.767952 |   -29.60321 |
|   50/1000 |      3s |        -26.90502 |  |   0.770919 |   -27.98322 |
|   51/1000 |      3s |        -27.11124 |  |   0.768286 |   -27.90911 |
|   52/1000 |      3s |        -27.38316 |  |   0.769724 |   -30.91143 |
|   53/1000 |      3s |        -27.33155 |  |   0.773219 |   -30.06472 |
|   54/1000 |      3s |        -27.86838 |  |   0.774643 |   -30.50698 |
|   55/1000 |      3s |        -28.19038 |  |   0.770582 |   -31.11909 |
|   56/1000 |      3s |        -26.74750 |  |   0.770040 |   -27.59926 |
|   57/1000 |      3s |        -27.73652 |  |   0.774493 |   -31.05523 |
|   58/1000 |      3s |        -27.99139 |  |   0.767821 |   -31.69129 |
|   59/1000 |      3s |        -28.40200 |  |   0.759955 |   -27.86969 |
|   60/1000 |      3s |        -28.61536 |  |   0.779302 |   -30.75937 |
|   61/1000 |      3s |        -28.54506 |  |   0.779191 |   -32.93312 |
|   62/1000 |      3s |        -28.24032 |  |   0.774819 |   -32.39747 |
|   63/1000 |      3s |        -29.02688 |  |   0.777362 |   -32.12117 |
|   64/1000 |      3s |        -28.89787 |  |   0.780553 |   -32.20803 |
|   65/1000 |      3s |        -28.60989 |  |   0.775814 |   -31.26179 |
|   66/1000 |      3s |        -29.33297 |  |   0.774625 |   -29.10788 |
|   67/1000 |      3s |        -28.91565 |  |   0.783024 |   -30.27402 |
|   68/1000 |      3s |        -28.95797 |  |   0.776105 |   -31.85428 |
|   69/1000 |      3s |        -28.87285 |  |   0.779274 |   -30.85023 |
|   70/1000 |      3s |        -29.58838 |  |   0.779378 |   -32.18717 |
|   71/1000 |      3s |        -29.41056 |  |   0.775960 |   -28.10340 |
|   72/1000 |      3s |        -29.07987 |  |   0.783349 |   -30.42903 |
|   73/1000 |      3s |        -29.61888 |  |   0.780986 |   -31.72092 |
|   74/1000 |      3s |        -29.38252 |  |   0.780815 |   -31.72768 |
|   75/1000 |      3s |        -29.48207 |  |   0.780872 |   -32.97759 |
|   76/1000 |      3s |        -29.69552 |  |   0.779580 |   -30.15915 |
|   77/1000 |      3s |        -30.22244 |  |   0.777468 |   -31.37469 |
|   78/1000 |      3s |        -30.32267 |  |   0.776107 |   -30.25740 |
|   79/1000 |      3s |        -30.09495 |  |   0.781203 |   -33.49990 |
|   80/1000 |      3s |        -30.35262 |  |   0.780932 |   -33.56170 |
|   81/1000 |      3s |        -30.20093 |  |   0.785941 |   -32.75279 |
|   82/1000 |      3s |        -30.34993 |  |   0.782428 |   -34.14837 |
|   83/1000 |      3s |        -30.41988 |  |   0.784241 |   -32.11315 |
|   84/1000 |      3s |        -30.98142 |  |   0.783232 |   -31.48007 |
|   85/1000 |      3s |         12.31579 |  |   0.787939 |   -33.30132 |
|   86/1000 |      3s |        -30.67425 |  |   0.783965 |   -33.38273 |
|   87/1000 |      3s |        -30.92006 |  |   0.785226 |   -34.35504 |
|   88/1000 |      3s |        -31.14149 |  |   0.784976 |   -33.48570 |
|   89/1000 |      3s |        -30.88725 |  |   0.791758 |   -34.67668 |
|   90/1000 |      3s |        -31.23936 |  |   0.788732 |   -34.69829 |
|   91/1000 |      3s |        -29.04572 |  |   0.785931 |   -32.94669 |
|   92/1000 |      3s |        -30.98765 |  |   0.788008 |   -34.82528 |
|   93/1000 |      3s |        -31.04226 |  |   0.787579 |   -33.71201 |
|   94/1000 |      3s |        -31.27753 |  |   0.788280 |   -34.48547 |
|   95/1000 |      3s |        -31.16503 |  |   0.789507 |   -35.01700 |
|   96/1000 |      3s |        -31.69226 |  |   0.786609 |   -34.15595 |
|   97/1000 |      3s |        -31.70038 |  |   0.787386 |   -35.17741 |
|   98/1000 |      3s |        -31.21303 |  |   0.790970 |   -33.32979 |
|   99/1000 |      3s |        -31.35797 |  |   0.789380 |   -31.99425 |
|  100/1000 |      3s |        -31.28225 |  |   0.788474 |   -35.36482 |
|  101/1000 |      3s |        -32.46397 |  |   0.789811 |   -34.96364 |
|  102/1000 |      3s |        -32.50881 |  |   0.784626 |   -33.99193 |
|  103/1000 |      3s |        -32.75725 |  |   0.788562 |   -36.24306 |
|  104/1000 |      3s |        -32.69180 |  |   0.784426 |   -33.23281 |
|  105/1000 |      3s |        -32.77445 |  |   0.788464 |   -34.70320 |
|  106/1000 |      3s |        -32.74592 |  |   0.793201 |   -36.39026 |
|  107/1000 |      3s |        -33.23017 |  |   0.793288 |   -37.08339 |
|  108/1000 |      3s |        -32.82173 |  |   0.791404 |   -34.94547 |
|  109/1000 |      3s |        -32.88049 |  |   0.791044 |   -34.68091 |
|  110/1000 |      3s |        -33.17465 |  |   0.791605 |   -34.85608 |
|  111/1000 |      3s |        -33.07066 |  |   0.792199 |   -35.39187 |
|  112/1000 |      3s |        -33.14212 |  |   0.791470 |   -36.65967 |
|  113/1000 |      3s |        -33.29437 |  |   0.794004 |   -36.38873 |
|  114/1000 |      3s |        -33.35098 |  |   0.795322 |   -36.62374 |
