Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  16
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  800
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.15
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |     28s |       9999.00000 |  |   0.033072 |    26.55193 |
|    2/1000 |     28s |          9.76744 |  |   0.419336 |    -2.76086 |
|    3/1000 |     29s |         -7.93262 |  |   0.618836 |   -15.77541 |
|    4/1000 |     28s |        -14.43455 |  |   0.685504 |   -20.22591 |
|    5/1000 |     28s |        -18.43422 |  |   0.677839 |   -14.22948 |
|    6/1000 |     28s |         35.18179 |  |   0.731047 |   -24.63424 |
|    7/1000 |     28s |        -22.79236 |  |   0.751289 |   -26.07874 |
|    8/1000 |     28s |        -24.45623 |  |   0.758675 |   -22.04617 |
|    9/1000 |     28s |        -25.20595 |  |   0.761324 |   -25.85566 |
|   10/1000 |     28s |        -26.26798 |  |   0.785760 |   -29.78874 |
|   11/1000 |     28s |         28.35670 |  |   0.784413 |   -29.72437 |
|   12/1000 |     28s |        -27.74516 |  |   0.796387 |   -31.99048 |
|   13/1000 |     28s |        -28.81817 |  |   0.800350 |   -30.12073 |
|   14/1000 |     28s |        -29.48049 |  |   0.806502 |   -32.28619 |
|   15/1000 |     28s |        -29.37813 |  |   0.812697 |   -32.61714 |
|   16/1000 |     28s |        -30.48829 |  |   0.812138 |   -32.06095 |
|   17/1000 |     28s |        -31.02180 |  |   0.815839 |   -32.98895 |
|   18/1000 |     28s |       9999.00000 |  |   0.031903 |   145.81790 |
|   19/1000 |     28s |         25.94965 |  |   0.527551 |   -14.92857 |
|   20/1000 |     28s |        -24.03219 |  |   0.784805 |   -26.95037 |
|   21/1000 |     28s |        -29.27262 |  |   0.814502 |   -32.46404 |
|   22/1000 |     28s |        -30.80474 |  |   0.822696 |   -34.35286 |
|   23/1000 |     28s |        -31.85916 |  |   0.829763 |   -35.93298 |
|   24/1000 |     28s |        -32.48501 |  |   0.837887 |   -34.88817 |
|   25/1000 |     28s |        -32.70252 |  |   0.837004 |   -31.40187 |
|   26/1000 |     28s |        -33.40035 |  |   0.841414 |   -33.32619 |
|   27/1000 |     28s |        -33.69949 |  |   0.850603 |   -37.27478 |
|   28/1000 |     28s |        -34.12479 |  |   0.855861 |   -38.14684 |
|   29/1000 |     28s |        -33.59410 |  |   0.814506 |   -30.82079 |
|   30/1000 |     28s |        -34.49323 |  |   0.860434 |   -37.83890 |
|   31/1000 |     28s |        -34.75102 |  |   0.858806 |   -38.33522 |
|   32/1000 |     28s |        -34.90968 |  |   0.861673 |   -38.10970 |
|   33/1000 |     28s |        -35.52352 |  |   0.867305 |   -37.56914 |
|   34/1000 |     28s |        -35.66169 |  |   0.857122 |   -36.94507 |
|   35/1000 |     28s |        -35.98492 |  |   0.875450 |   -39.37301 |
|   36/1000 |     28s |        -35.91483 |  |   0.866291 |   -37.75509 |
|   37/1000 |     28s |        -36.22255 |  |   0.872015 |   -38.02365 |
|   38/1000 |     28s |        -36.57282 |  |   0.876275 |   -40.70449 |
|   39/1000 |     28s |        -36.63453 |  |   0.879521 |   -38.73746 |
|   40/1000 |     28s |        -36.76919 |  |   0.876052 |   -40.08887 |
|   41/1000 |     28s |        -34.97695 |  |   0.877699 |   -40.23176 |
|   42/1000 |     28s |        -37.23842 |  |   0.877420 |   -39.57410 |
|   43/1000 |     27s |        -37.29535 |  |   0.881534 |   -40.98224 |
|   44/1000 |     27s |        -37.71560 |  |   0.880237 |   -40.71950 |
|   45/1000 |     27s |        -37.73144 |  |   0.881237 |   -41.01568 |
|   46/1000 |     27s |        -37.73041 |  |   0.880597 |   -40.51576 |
|   47/1000 |     27s |        -37.93698 |  |   0.882758 |   -41.95618 |
|   48/1000 |     27s |        -38.02093 |  |   0.883152 |   -42.00591 |
|   49/1000 |     27s |        -38.26161 |  |   0.885071 |   -41.92265 |
|   50/1000 |     27s |        -37.19405 |  |   0.885120 |   -41.87604 |
|   51/1000 |     27s |        -38.47903 |  |   0.878324 |   -40.62817 |
|   52/1000 |     27s |        -38.66905 |  |   0.884748 |   -37.46684 |
|   53/1000 |     27s |        -38.72562 |  |   0.885942 |   -42.60475 |
|   54/1000 |     27s |        -38.84766 |  |   0.886760 |   -42.17253 |
|   55/1000 |     27s |        -39.07653 |  |   0.885345 |   -41.65644 |
|   56/1000 |     27s |        -39.10677 |  |   0.884248 |   -39.93700 |
|   57/1000 |     27s |        -39.26444 |  |   0.888077 |   -43.17471 |
|   58/1000 |     27s |        -39.17805 |  |   0.886102 |   -42.67621 |
|   59/1000 |     27s |        -39.21129 |  |   0.888373 |   -43.36883 |
|   60/1000 |     27s |        -38.83599 |  |   0.884632 |   -43.44967 |
|   61/1000 |     27s |        -39.66003 |  |   0.881919 |   -42.33380 |
|   62/1000 |     27s |        -39.69636 |  |   0.883308 |   -41.75033 |
|   63/1000 |     27s |        -39.74422 |  |   0.889173 |   -41.26652 |
|   64/1000 |     27s |        -39.89263 |  |   0.889408 |   -42.20203 |
|   65/1000 |     27s |        -39.44042 |  |   0.884261 |   -42.02676 |
|   66/1000 |     27s |        -39.99400 |  |   0.889681 |   -44.28083 |
|   67/1000 |     27s |        -40.09534 |  |   0.887489 |   -42.23948 |
|   68/1000 |     27s |        -40.07747 |  |   0.886983 |   -43.15343 |
|   69/1000 |     27s |       9999.00000 |  |   0.033041 |  9999.00000 |
|   70/1000 |     27s |       1213.17813 |  |   0.031784 |    41.33785 |
|   71/1000 |     27s |         11.29805 |  |   0.162036 |   -11.90718 |
|   72/1000 |     27s |        -20.60453 |  |   0.783201 |   -29.64473 |
|   73/1000 |     27s |        -31.95638 |  |   0.823022 |   -34.29909 |
|   74/1000 |     27s |        -34.74436 |  |   0.872103 |   -39.91875 |
|   75/1000 |     27s |        -36.34419 |  |   0.879637 |   -38.52142 |
|   76/1000 |     27s |        -37.25760 |  |   0.881720 |   -40.99776 |
|   77/1000 |     27s |        -38.16067 |  |   0.885458 |   -41.31050 |
|   78/1000 |     27s |        -38.66761 |  |   0.887281 |   -42.50047 |
|   79/1000 |     27s |        -39.22448 |  |   0.885464 |   -43.07077 |
|   80/1000 |     27s |        -39.58651 |  |   0.885579 |   -42.73288 |
|   81/1000 |     27s |        -39.87415 |  |   0.886001 |   -42.89836 |
|   82/1000 |     27s |        -40.23158 |  |   0.886796 |   -43.05842 |
|   83/1000 |     27s |        -40.42604 |  |   0.889737 |   -44.22839 |
|   84/1000 |     27s |        -40.52078 |  |   0.890096 |   -44.58597 |
|   85/1000 |     27s |        -40.71949 |  |   0.890185 |   -44.95501 |
|   86/1000 |     27s |        -40.94528 |  |   0.889675 |   -44.01108 |
|   87/1000 |     27s |        -40.96182 |  |   0.889968 |   -43.94394 |
|   88/1000 |     27s |        -41.03927 |  |   0.889367 |   -42.73518 |
|   89/1000 |     27s |        -41.27592 |  |   0.885927 |   -43.32340 |
|   90/1000 |     27s |        -41.36900 |  |   0.890932 |   -45.35709 |
|   91/1000 |     27s |        -41.52579 |  |   0.889042 |   -44.20311 |
|   92/1000 |     27s |        -41.57183 |  |   0.891867 |   -45.82570 |
|   93/1000 |     27s |        -41.58834 |  |   0.893906 |   -45.84007 |
|   94/1000 |     27s |        -41.68368 |  |   0.892429 |   -45.50720 |
|   95/1000 |     27s |        -41.90619 |  |   0.890409 |   -42.64878 |
|   96/1000 |     27s |        -41.86848 |  |   0.894154 |   -45.59553 |
|   97/1000 |     27s |        -42.03062 |  |   0.891151 |   -44.43716 |
|   98/1000 |     27s |        -42.04961 |  |   0.892913 |   -45.96375 |
|   99/1000 |     27s |        -42.24462 |  |   0.886318 |   -43.85206 |
|  100/1000 |     27s |        -42.25856 |  |   0.887852 |   -45.21443 |
|  101/1000 |     27s |        -43.41935 |  |   0.890706 |   -45.50122 |
|  102/1000 |     27s |        -43.34135 |  |   0.890646 |   -47.38867 |
|  103/1000 |     27s |        -43.54035 |  |   0.893544 |   -45.57769 |
|  104/1000 |     27s |        -43.63153 |  |   0.892866 |   -48.05805 |
|  105/1000 |     27s |        -43.74309 |  |   0.894333 |   -47.45722 |
|  106/1000 |     27s |        -43.75992 |  |   0.892642 |   -47.94916 |
|  107/1000 |     27s |        -43.84242 |  |   0.891138 |   -47.02292 |
|  108/1000 |     27s |        -43.94010 |  |   0.892933 |   -47.73241 |
|  109/1000 |     27s |        -43.94566 |  |   0.891008 |   -45.40579 |
|  110/1000 |     27s |        -44.01892 |  |   0.893270 |   -47.83416 |
|  111/1000 |     27s |        -43.99968 |  |   0.893047 |   -47.95330 |
|  112/1000 |     27s |        -44.09739 |  |   0.888018 |   -45.53839 |
|  113/1000 |     27s |        -44.14354 |  |   0.892807 |   -48.59232 |
|  114/1000 |     27s |        -44.26301 |  |   0.895603 |   -48.60935 |
|  115/1000 |     27s |        -44.15149 |  |   0.893849 |   -46.69054 |
|  116/1000 |     27s |        -44.24008 |  |   0.894238 |   -48.25808 |
|  117/1000 |     27s |        -44.38732 |  |   0.893423 |   -47.40210 |
|  118/1000 |     27s |        -44.32476 |  |   0.892724 |   -47.70148 |
|  119/1000 |     27s |        -44.49412 |  |   0.894477 |   -46.77539 |
|  120/1000 |     27s |        -44.48898 |  |   0.889895 |   -46.43914 |
|  121/1000 |     27s |        -44.52525 |  |   0.894716 |   -48.52187 |
|  122/1000 |     27s |        -44.61341 |  |   0.892996 |   -45.90128 |
|  123/1000 |     27s |        -44.52878 |  |   0.893958 |   -45.56019 |
|  124/1000 |     27s |        -44.62398 |  |   0.892418 |   -48.51333 |
|  125/1000 |     27s |        -44.69697 |  |   0.893541 |   -44.86486 |
|  126/1000 |     27s |        -44.73592 |  |   0.893193 |   -48.26004 |
|  127/1000 |     27s |        -44.78300 |  |   0.892709 |   -48.04309 |
|  128/1000 |     27s |        -44.77179 |  |   0.892512 |   -47.47380 |
|  129/1000 |     27s |        -44.91936 |  |   0.894656 |   -47.34185 |
|  130/1000 |     27s |        -44.84812 |  |   0.894255 |   -48.39714 |
|  131/1000 |     27s |        -44.97638 |  |   0.895316 |   -49.07242 |
|  132/1000 |     27s |        -44.88011 |  |   0.893951 |   -46.95382 |
|  133/1000 |     27s |        -44.94246 |  |   0.893463 |   -47.58107 |
|  134/1000 |     27s |        -45.13706 |  |   0.895207 |   -48.05114 |
|  135/1000 |     27s |        -45.03794 |  |   0.895333 |   -48.95941 |
|  136/1000 |     27s |        -45.14894 |  |   0.892610 |   -48.79218 |
|  137/1000 |     27s |        -45.19765 |  |   0.893158 |   -48.47392 |
|  138/1000 |     27s |        -45.19960 |  |   0.895036 |   -49.11938 |
|  139/1000 |     27s |        -45.19960 |  |   0.893647 |   -48.80053 |
|  140/1000 |     27s |        -45.28941 |  |   0.893108 |   -47.86333 |
|  141/1000 |     27s |        -45.19251 |  |   0.894978 |   -48.55001 |
|  142/1000 |     27s |        -45.28053 |  |   0.894870 |   -49.44004 |
|  143/1000 |     27s |        -45.34235 |  |   0.895680 |   -48.14454 |
|  144/1000 |     27s |        -45.35816 |  |   0.894113 |   -49.24686 |
|  145/1000 |     27s |        -45.43290 |  |   0.893824 |   -47.02346 |
|  146/1000 |     27s |        -45.55337 |  |   0.892238 |   -48.92272 |
|  147/1000 |     27s |        -45.48987 |  |   0.894374 |   -49.40068 |
|  148/1000 |     27s |        -45.53566 |  |   0.893945 |   -48.07605 |
|  149/1000 |     27s |        -45.58982 |  |   0.892990 |   -47.11880 |
|  150/1000 |     27s |        -45.57176 |  |   0.895197 |   -49.96441 |
|  151/1000 |     27s |        -45.59296 |  |   0.894069 |   -49.53501 |
|  152/1000 |     27s |        -45.67711 |  |   0.893655 |   -48.47969 |
|  153/1000 |     27s |        -45.70533 |  |   0.896058 |   -49.61509 |
|  154/1000 |     27s |        -45.76285 |  |   0.895017 |   -49.52765 |
|  155/1000 |     27s |        -45.76206 |  |   0.894277 |   -48.30473 |
|  156/1000 |     27s |        -45.79550 |  |   0.893679 |   -48.67295 |
|  157/1000 |     27s |        -45.69134 |  |   0.896251 |   -49.75034 |
|  158/1000 |     27s |        -45.76086 |  |   0.894971 |   -49.68991 |
|  159/1000 |     27s |        -45.92918 |  |   0.890983 |   -44.99235 |
|  160/1000 |     27s |        -45.87503 |  |   0.895247 |   -49.75531 |
|  161/1000 |     27s |        -45.89888 |  |   0.896046 |   -48.12411 |
|  162/1000 |     27s |        -46.01707 |  |   0.895780 |   -49.66248 |
|  163/1000 |     27s |        -45.99986 |  |   0.893157 |   -47.79180 |
|  164/1000 |     27s |        -45.97158 |  |   0.893599 |   -48.93288 |
|  165/1000 |     27s |        -46.05042 |  |   0.895211 |   -50.23048 |
|  166/1000 |     27s |        -46.04330 |  |   0.893940 |   -49.76513 |
|  167/1000 |     27s |        -45.81501 |  |   0.894144 |   -48.42122 |
|  168/1000 |     27s |        -46.01048 |  |   0.894276 |   -49.05272 |
|  169/1000 |     27s |        -46.10204 |  |   0.894021 |   -48.84610 |
|  170/1000 |     27s |        -46.19237 |  |   0.894661 |   -50.15987 |
|  171/1000 |     27s |        -46.11527 |  |   0.894896 |   -46.85563 |
|  172/1000 |     27s |        -46.21122 |  |   0.895591 |   -50.00807 |
|  173/1000 |     27s |        -46.21005 |  |   0.893668 |   -47.43322 |
|  174/1000 |     27s |        -46.26533 |  |   0.895827 |   -49.74942 |
|  175/1000 |     27s |        -46.25400 |  |   0.894391 |   -47.11401 |
|  176/1000 |     27s |        -46.30106 |  |   0.893792 |   -50.20568 |
|  177/1000 |     27s |        -46.31680 |  |   0.893925 |   -50.34188 |
|  178/1000 |     27s |        -46.29856 |  |   0.894085 |   -50.43539 |
|  179/1000 |     27s |        -46.37181 |  |   0.896255 |   -49.62842 |
|  180/1000 |     27s |        -46.38200 |  |   0.893864 |   -49.77314 |
