Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  4
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  200
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   70/1000 |      8s |        -36.48467 |  |   0.877618 |   -39.81940 |
|   71/1000 |      8s |        -36.70742 |  |   0.880720 |   -40.68430 |
|   72/1000 |      8s |        -36.66162 |  |   0.875560 |   -40.78573 |
|   73/1000 |      8s |        -36.68076 |  |   0.878501 |   -40.79824 |
|   74/1000 |      8s |        -36.78663 |  |   0.881602 |   -41.27210 |
|   75/1000 |      8s |        -36.82424 |  |   0.880851 |   -40.81165 |
|   76/1000 |      8s |        -37.01113 |  |   0.881816 |   -41.12970 |
|   77/1000 |      8s |        -36.92812 |  |   0.882532 |   -41.46035 |
|   78/1000 |      8s |        -36.95793 |  |   0.880187 |   -40.05228 |
|   79/1000 |      8s |        -37.01605 |  |   0.879261 |   -40.53059 |
|   80/1000 |      8s |        -37.10137 |  |   0.882779 |   -41.19478 |
|   81/1000 |      8s |        -37.17592 |  |   0.879242 |   -39.96911 |
|   82/1000 |      8s |        -37.21251 |  |   0.881602 |   -41.30982 |
|   83/1000 |      8s |        -37.26366 |  |   0.879187 |   -41.88807 |
|   84/1000 |      8s |        -37.34007 |  |   0.882565 |   -40.63168 |
|   85/1000 |      8s |        -37.34601 |  |   0.883652 |   -41.98979 |
|   86/1000 |      8s |        -37.45941 |  |   0.884421 |   -41.22965 |
|   87/1000 |      8s |        -37.48607 |  |   0.885099 |   -42.00536 |
|   88/1000 |      8s |        -37.46891 |  |   0.881169 |   -41.98715 |
|   89/1000 |      8s |        -37.46951 |  |   0.883951 |   -41.70435 |
|   90/1000 |      8s |        -37.61309 |  |   0.882177 |   -41.88042 |
|   91/1000 |      8s |        -37.60709 |  |   0.883733 |   -42.09546 |
|   92/1000 |      8s |        -37.66778 |  |   0.881446 |   -41.39359 |
|   93/1000 |      8s |        -37.75943 |  |   0.883176 |   -42.12868 |
|   94/1000 |      8s |        -37.79799 |  |   0.884362 |   -42.31587 |
|   95/1000 |      8s |        -37.84542 |  |   0.882824 |   -42.41106 |
|   96/1000 |      8s |        -37.88452 |  |   0.884025 |   -42.20972 |
|   97/1000 |      8s |        -37.87889 |  |   0.883273 |   -42.64025 |
|   98/1000 |      8s |        -37.91456 |  |   0.882791 |   -42.07012 |
|   99/1000 |      8s |        -37.96342 |  |   0.881340 |   -41.65162 |
|  100/1000 |      8s |        -38.04389 |  |   0.884919 |   -42.44160 |
|  101/1000 |      8s |        -38.53395 |  |   0.882931 |   -42.43424 |
|  102/1000 |      8s |        -38.58678 |  |   0.884680 |   -42.10980 |
|  103/1000 |      8s |        -38.58973 |  |   0.884002 |   -42.57755 |
|  104/1000 |      8s |        -38.68883 |  |   0.883784 |   -42.67972 |
|  105/1000 |      8s |        -38.71673 |  |   0.883923 |   -42.40209 |
|  106/1000 |      8s |        -38.65702 |  |   0.883574 |   -43.12270 |
|  107/1000 |      8s |        -38.78479 |  |   0.883415 |   -42.78453 |
|  108/1000 |      8s |        -38.77543 |  |   0.882479 |   -42.75778 |
|  109/1000 |      8s |        -38.84766 |  |   0.882735 |   -42.94056 |
|  110/1000 |      8s |        -38.78409 |  |   0.882018 |   -42.57717 |
|  111/1000 |      8s |        -38.82137 |  |   0.885536 |   -43.32883 |
|  112/1000 |      8s |        -38.94772 |  |   0.883686 |   -43.04933 |
|  113/1000 |      7s |        -38.95334 |  |   0.885135 |   -42.86814 |
|  114/1000 |      7s |        -38.99581 |  |   0.884620 |   -41.98881 |
|  115/1000 |      7s |        -38.96255 |  |   0.882812 |   -43.48084 |
|  116/1000 |      7s |        -39.11414 |  |   0.884106 |   -43.35530 |
|  117/1000 |      7s |        -39.11483 |  |   0.884834 |   -43.48338 |
|  118/1000 |      7s |        -39.16008 |  |   0.883178 |   -43.72711 |
|  119/1000 |      7s |        -39.11615 |  |   0.884045 |   -43.36847 |
|  120/1000 |      7s |        -39.24107 |  |   0.883810 |   -42.72026 |
|  121/1000 |      7s |        -39.16283 |  |   0.885517 |   -43.23533 |
|  122/1000 |      7s |        -39.24574 |  |   0.885245 |   -43.50508 |
|  123/1000 |      7s |        -39.26689 |  |   0.883539 |   -43.58595 |
|  124/1000 |      7s |        -39.29110 |  |   0.884348 |   -43.29737 |
|  125/1000 |      7s |        -39.27704 |  |   0.883230 |   -43.32891 |
|  126/1000 |      7s |        -39.35791 |  |   0.882465 |   -43.64841 |
|  127/1000 |      7s |        -39.42183 |  |   0.880565 |   -43.22372 |
|  128/1000 |      7s |        -39.35700 |  |   0.885019 |   -43.73794 |
|  129/1000 |      7s |        -39.39469 |  |   0.885501 |   -43.96071 |
|  130/1000 |      7s |        -39.47981 |  |   0.885638 |   -43.76917 |
|  131/1000 |      7s |        -39.44499 |  |   0.885382 |   -44.13236 |
|  132/1000 |      7s |        -39.50574 |  |   0.884626 |   -43.24414 |
|  133/1000 |      7s |        -39.54267 |  |   0.887104 |   -44.09314 |
|  134/1000 |      7s |        -39.51205 |  |   0.885175 |   -43.19428 |
|  135/1000 |      7s |        -39.57876 |  |   0.886831 |   -43.96189 |
|  136/1000 |      7s |        -39.56679 |  |   0.881800 |   -42.94903 |
|  137/1000 |      7s |        -39.63750 |  |   0.883283 |   -43.79064 |
|  138/1000 |      7s |        -39.62754 |  |   0.885201 |   -43.99599 |
|  139/1000 |      7s |        -39.66936 |  |   0.884068 |   -44.03133 |
|  140/1000 |      7s |        -39.68567 |  |   0.885672 |   -44.29434 |
|  141/1000 |      7s |        -39.62959 |  |   0.886635 |   -43.95097 |
|  142/1000 |      7s |        -39.68082 |  |   0.883658 |   -43.34852 |
|  143/1000 |      7s |        -39.80662 |  |   0.883831 |   -43.87615 |
|  144/1000 |      7s |        -39.79010 |  |   0.886047 |   -43.98586 |
|  145/1000 |      7s |        -39.71990 |  |   0.886123 |   -43.77204 |
|  146/1000 |      7s |        -39.82367 |  |   0.883567 |   -44.17077 |
|  147/1000 |      7s |        -39.88253 |  |   0.883849 |   -43.52710 |
|  148/1000 |      7s |        -39.78253 |  |   0.887627 |   -44.05279 |
|  149/1000 |      7s |        -39.88666 |  |   0.885946 |   -43.95007 |
|  150/1000 |      7s |        -39.92836 |  |   0.885364 |   -44.45039 |
|  151/1000 |      7s |        -39.90396 |  |   0.887172 |   -43.33757 |
|  152/1000 |      7s |        -39.96179 |  |   0.886338 |   -44.19360 |
|  153/1000 |      7s |        -39.93837 |  |   0.885526 |   -44.50871 |
|  154/1000 |      7s |        -40.05769 |  |   0.884701 |   -44.12213 |
|  155/1000 |      7s |        -40.05243 |  |   0.885430 |   -44.52526 |
|  156/1000 |      7s |        -40.01812 |  |   0.883497 |   -44.19770 |
|  157/1000 |      7s |        -40.03799 |  |   0.885569 |   -43.98788 |
|  158/1000 |      7s |        -40.03237 |  |   0.884670 |   -44.73361 |
|  159/1000 |      7s |        -40.10798 |  |   0.885620 |   -44.20476 |
|  160/1000 |      7s |        -40.14075 |  |   0.885740 |   -43.30140 |
|  161/1000 |      7s |        -40.14922 |  |   0.884757 |   -44.74169 |
|  162/1000 |      7s |        -40.11167 |  |   0.885887 |   -44.00132 |
|  163/1000 |      7s |        -40.19679 |  |   0.885002 |   -44.62893 |
|  164/1000 |      7s |        -40.24093 |  |   0.885463 |   -44.57083 |
|  165/1000 |      7s |        -40.22129 |  |   0.886270 |   -44.75615 |
|  166/1000 |      7s |        -40.20640 |  |   0.885358 |   -44.67879 |
|  167/1000 |      7s |        -40.25368 |  |   0.885560 |   -44.09029 |
|  168/1000 |      7s |        -40.33380 |  |   0.887361 |   -44.03818 |
|  169/1000 |      7s |        -40.28254 |  |   0.887125 |   -44.75391 |
|  170/1000 |      7s |        -40.33854 |  |   0.885160 |   -44.26017 |
|  171/1000 |      7s |        -40.33856 |  |   0.886149 |   -44.73531 |
|  172/1000 |      7s |        -40.32352 |  |   0.886226 |   -44.47894 |
|  173/1000 |      7s |        -40.39076 |  |   0.886692 |   -44.27939 |
|  174/1000 |      7s |        -40.41168 |  |   0.884961 |   -45.08139 |
|  175/1000 |      7s |        -40.36014 |  |   0.885948 |   -44.33395 |
|  176/1000 |      7s |        -40.43734 |  |   0.885363 |   -44.75255 |
|  177/1000 |      7s |        -40.43827 |  |   0.887081 |   -44.76053 |
|  178/1000 |      7s |        -40.38051 |  |   0.886424 |   -44.73916 |
|  179/1000 |      7s |        -40.48240 |  |   0.838743 |   -43.25435 |
|  180/1000 |      7s |        -40.46057 |  |   0.885956 |   -44.98872 |
|  181/1000 |      7s |        -40.54022 |  |   0.886606 |   -45.22807 |
|  182/1000 |      7s |        -40.55566 |  |   0.884681 |   -44.86955 |
|  183/1000 |      7s |        -40.56625 |  |   0.886859 |   -44.81987 |
|  184/1000 |      7s |        -40.57564 |  |   0.886566 |   -45.17008 |
|  185/1000 |      7s |        -40.57198 |  |   0.885497 |   -44.57753 |
|  186/1000 |      7s |        -40.55915 |  |   0.888534 |   -45.04531 |
|  187/1000 |      7s |        -40.59365 |  |   0.886095 |   -45.26873 |
|  188/1000 |      7s |        -40.59487 |  |   0.885634 |   -44.87793 |
|  189/1000 |      7s |        -40.57196 |  |   0.887246 |   -44.76733 |
|  190/1000 |      7s |        -40.61878 |  |   0.885117 |   -44.94151 |
|  191/1000 |      7s |        -40.69517 |  |   0.886246 |   -44.92995 |
