Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.36
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   70/1000 |     16s |        -40.04741 |  |   0.893401 |   -42.81247 |
|   71/1000 |     16s |        -40.12739 |  |   0.892871 |   -44.42388 |
|   72/1000 |     16s |        -40.26630 |  |   0.890479 |   -42.73653 |
|   73/1000 |     16s |        -40.26103 |  |   0.893544 |   -44.21862 |
|   74/1000 |     16s |        -40.29670 |  |   0.891402 |   -44.58668 |
|   75/1000 |     16s |        -40.28435 |  |   0.893736 |   -44.92844 |
|   76/1000 |     16s |        -40.49090 |  |   0.891723 |   -44.17362 |
|   77/1000 |     16s |        -40.41895 |  |   0.892006 |   -44.66674 |
|   78/1000 |     16s |        -40.47965 |  |   0.891703 |   -44.24786 |
|   79/1000 |     16s |        -40.60662 |  |   0.892900 |   -44.90446 |
|   80/1000 |     16s |        -40.60070 |  |   0.892399 |   -44.02483 |
|   81/1000 |     16s |        -40.64601 |  |   0.890339 |   -43.14761 |
|   82/1000 |     16s |        -40.68464 |  |   0.892944 |   -44.13876 |
|   83/1000 |     16s |        -40.71515 |  |   0.891493 |   -43.20200 |
|   84/1000 |     16s |        -40.75672 |  |   0.891350 |   -44.95612 |
|   85/1000 |     16s |        -40.71081 |  |   0.892021 |   -44.90392 |
|   86/1000 |     16s |        -40.80146 |  |   0.894308 |   -44.99211 |
|   87/1000 |     16s |        -40.94707 |  |   0.891257 |   -44.71829 |
|   88/1000 |     16s |        -40.92810 |  |   0.893131 |   -45.12283 |
|   89/1000 |     16s |        -41.07034 |  |   0.893008 |   -45.19725 |
|   90/1000 |     16s |        -41.08994 |  |   0.892766 |   -44.97221 |
|   91/1000 |     16s |        -40.21069 |  |   0.894098 |   -45.61345 |
|   92/1000 |     16s |        -41.10500 |  |   0.891688 |   -44.83015 |
|   93/1000 |     16s |        -41.20593 |  |   0.893455 |   -44.65392 |
|   94/1000 |     16s |        -41.19032 |  |   0.894337 |   -45.56830 |
|   95/1000 |     16s |        -41.28424 |  |   0.893347 |   -44.75692 |
|   96/1000 |     16s |        -41.26438 |  |   0.892605 |   -45.52097 |
|   97/1000 |     16s |        -41.29155 |  |   0.892467 |   -45.80580 |
|   98/1000 |     16s |        -41.31386 |  |   0.892161 |   -45.42889 |
|   99/1000 |     16s |        -41.40216 |  |   0.893885 |   -46.05683 |
|  100/1000 |     16s |        -41.38826 |  |   0.894076 |   -44.19918 |
|  101/1000 |     16s |        -41.89748 |  |   0.893586 |   -46.18762 |
|  102/1000 |     16s |        -42.02102 |  |   0.892682 |   -46.34455 |
|  103/1000 |     16s |        -42.02193 |  |   0.894245 |   -46.48483 |
|  104/1000 |     16s |        -42.07104 |  |   0.895099 |   -46.02382 |
|  105/1000 |     17s |        -42.10234 |  |   0.895276 |   -45.49781 |
|  106/1000 |     16s |        -42.13270 |  |   0.892891 |   -46.29099 |
|  107/1000 |     16s |        -42.18436 |  |   0.893319 |   -46.43248 |
|  108/1000 |     16s |        -42.19229 |  |   0.892952 |   -46.63405 |
|  109/1000 |     16s |        -42.30493 |  |   0.893265 |   -46.47425 |
|  110/1000 |     16s |        -42.27418 |  |   0.893355 |   -46.78923 |
|  111/1000 |     16s |        -42.29439 |  |   0.894772 |   -46.73651 |
|  112/1000 |     16s |        -42.35087 |  |   0.893766 |   -45.95986 |
|  113/1000 |     16s |        -42.34765 |  |   0.896032 |   -46.17530 |
|  114/1000 |     16s |        -42.34327 |  |   0.894453 |   -46.58600 |
|  115/1000 |     16s |        -42.51291 |  |   0.894332 |   -46.68671 |
|  116/1000 |     16s |        -42.46730 |  |   0.894866 |   -45.99326 |
|  117/1000 |     16s |        -42.50931 |  |   0.894572 |   -46.57878 |
|  118/1000 |     16s |        -42.51650 |  |   0.892426 |   -46.73656 |
|  119/1000 |     16s |        -42.51103 |  |   0.892968 |   -46.21227 |
|  120/1000 |     16s |        -42.54201 |  |   0.893354 |   -46.66238 |
|  121/1000 |     16s |        -42.66558 |  |   0.895705 |   -47.33613 |
|  122/1000 |     16s |        -42.58826 |  |   0.895282 |   -46.92634 |
|  123/1000 |     16s |        -42.67676 |  |   0.893644 |   -46.70004 |
