Selected mat file:
otherR/R_12.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   70/1000 |      8s |        -33.10223 |  |   0.811206 |   -36.34755 |
|   71/1000 |      8s |        -33.18296 |  |   0.814757 |   -36.44857 |
|   72/1000 |      8s |        -33.30513 |  |   0.816413 |   -36.81523 |
|   73/1000 |      8s |        -33.26528 |  |   0.816534 |   -36.59139 |
|   74/1000 |      8s |        -33.38742 |  |   0.818943 |   -36.70687 |
|   75/1000 |      8s |        -33.60429 |  |   0.817729 |   -36.83143 |
|   76/1000 |      8s |        -33.74788 |  |   0.814948 |   -37.68389 |
|   77/1000 |      8s |        -33.81735 |  |   0.812744 |   -37.22906 |
|   78/1000 |      8s |        -33.75326 |  |   0.818284 |   -37.68314 |
|   79/1000 |      8s |        -33.81805 |  |   0.814155 |   -37.01924 |
|   80/1000 |      8s |        -33.46024 |  |   0.816372 |   -37.65847 |
|   81/1000 |      8s |        -34.01796 |  |   0.814653 |   -36.39635 |
|   82/1000 |      8s |        -34.06588 |  |   0.817544 |   -37.06680 |
|   83/1000 |      8s |        -34.27235 |  |   0.815917 |   -35.70897 |
|   84/1000 |      8s |        -34.18980 |  |   0.819719 |   -38.43802 |
|   85/1000 |      8s |        -34.20821 |  |   0.816922 |   -38.34825 |
|   86/1000 |      8s |        -34.30832 |  |   0.817050 |   -38.14709 |
|   87/1000 |      8s |        -34.32439 |  |   0.818091 |   -38.09712 |
|   88/1000 |      8s |        -33.83648 |  |   0.817341 |   -38.10754 |
|   89/1000 |      8s |        -34.47370 |  |   0.818840 |   -37.98079 |
|   90/1000 |      8s |        -34.71923 |  |   0.815906 |   -36.42782 |
|   91/1000 |      8s |        -34.24695 |  |   0.817476 |   -36.43037 |
|   92/1000 |      8s |        -34.44213 |  |   0.815769 |   -36.87740 |
|   93/1000 |      8s |        -34.68151 |  |   0.820697 |   -38.21352 |
|   94/1000 |      8s |        -34.58869 |  |   0.819081 |   -38.50375 |
|   95/1000 |      8s |       9999.00000 |  |   0.034410 |  9999.00000 |
|   96/1000 |      8s |       9083.52486 |  |   0.031585 |   150.51741 |
|   97/1000 |      8s |         51.65340 |  |   0.031501 |    32.51608 |
|   98/1000 |      8s |          9.27990 |  |   0.033498 |     3.82144 |
|   99/1000 |      8s |        -10.26411 |  |   0.439037 |   -17.59422 |
|  100/1000 |      8s |        -20.47295 |  |   0.651385 |   -26.72301 |
|  101/1000 |      8s |        -26.97027 |  |   0.742887 |   -31.91424 |
|  102/1000 |      8s |        -29.18381 |  |   0.774266 |   -32.86743 |
|  103/1000 |      8s |        -30.61895 |  |   0.792035 |   -34.93027 |
|  104/1000 |      8s |        -31.39535 |  |   0.797637 |   -33.51887 |
|  105/1000 |      8s |        -32.41590 |  |   0.808083 |   -35.60107 |
|  106/1000 |      8s |        -33.10878 |  |   0.813800 |   -37.09156 |
|  107/1000 |      8s |        -33.74395 |  |   0.816904 |   -37.88968 |
|  108/1000 |      8s |        -34.17563 |  |   0.812167 |   -36.09082 |
|  109/1000 |      8s |        -34.74215 |  |   0.819932 |   -38.05450 |
|  110/1000 |      8s |        -35.10644 |  |   0.817086 |   -39.08921 |
|  111/1000 |      8s |        -35.38808 |  |   0.819340 |   -37.84584 |
|  112/1000 |      8s |        -35.51679 |  |   0.819882 |   -38.64720 |
|  113/1000 |      8s |        -35.79770 |  |   0.821175 |   -38.55658 |
|  114/1000 |      8s |        -35.97307 |  |   0.820474 |   -39.24016 |
|  115/1000 |      8s |        -36.06447 |  |   0.819459 |   -39.20666 |
|  116/1000 |      8s |        -36.20454 |  |   0.818573 |   -39.75643 |
|  117/1000 |      8s |        -36.48784 |  |   0.823430 |   -37.46557 |
|  118/1000 |      8s |        -36.66889 |  |   0.820448 |   -39.05424 |
|  119/1000 |      8s |        -34.49666 |  |   0.821458 |   -39.03621 |
|  120/1000 |      8s |        -36.64317 |  |   0.820245 |   -40.33463 |
|  121/1000 |      8s |        -36.82066 |  |   0.823271 |   -40.32216 |
|  122/1000 |      8s |        -36.79027 |  |   0.821651 |   -40.86822 |
|  123/1000 |      8s |        -37.17441 |  |   0.820020 |   -40.53261 |
|  124/1000 |      8s |        -37.22549 |  |   0.823311 |   -39.60862 |
|  125/1000 |      8s |        -37.35446 |  |   0.820681 |   -38.86153 |
|  126/1000 |      8s |        -37.45392 |  |   0.819674 |   -40.81453 |
|  127/1000 |      8s |        -37.59356 |  |   0.823325 |   -40.19090 |
|  128/1000 |      8s |        -37.62219 |  |   0.824322 |   -40.78698 |
|  129/1000 |      8s |        -37.48417 |  |   0.820630 |   -38.44582 |
|  130/1000 |      8s |        -37.58265 |  |   0.821805 |   -41.48832 |
|  131/1000 |      8s |        -37.87481 |  |   0.820114 |   -41.54244 |
|  132/1000 |      8s |        -37.97134 |  |   0.821543 |   -39.27687 |
|  133/1000 |      8s |        -37.99618 |  |   0.821499 |   -40.54821 |
|  134/1000 |      8s |        -37.92975 |  |   0.820920 |   -37.68117 |
|  135/1000 |      8s |        -38.04900 |  |   0.823043 |   -40.68198 |
|  136/1000 |      8s |        -38.16317 |  |   0.821887 |   -40.41190 |
|  137/1000 |      8s |        -38.20754 |  |   0.823977 |   -39.80460 |
|  138/1000 |      8s |        -38.21110 |  |   0.823056 |   -42.11180 |
