Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|   70/1000 |      6s |        -35.38501 |  |   0.877667 |   -37.50675 |
|   71/1000 |      6s |        -35.67356 |  |   0.879465 |   -39.77033 |
|   72/1000 |      6s |        -35.55060 |  |   0.881198 |   -38.65413 |
|   73/1000 |      6s |        -35.70435 |  |   0.879255 |   -37.78831 |
|   74/1000 |      6s |        -35.91293 |  |   0.882685 |   -38.48057 |
|   75/1000 |      6s |        -35.85208 |  |   0.874463 |   -37.46761 |
|   76/1000 |      6s |        -35.69251 |  |   0.874933 |   -25.29497 |
|   77/1000 |      6s |        -27.81820 |  |   0.884677 |   -39.66093 |
|   78/1000 |      6s |        -36.36596 |  |   0.883878 |   -39.68841 |
|   79/1000 |      6s |        -36.18907 |  |   0.874891 |   -38.42137 |
|   80/1000 |      6s |        -36.47803 |  |   0.881057 |   -39.67141 |
|   81/1000 |      6s |        -36.31718 |  |   0.879226 |   -39.45855 |
|   82/1000 |      6s |        -36.39491 |  |   0.883114 |   -40.12203 |
|   83/1000 |      6s |        -36.42057 |  |   0.884217 |   -39.10514 |
|   84/1000 |      6s |        -36.50836 |  |   0.880367 |   -40.20496 |
|   85/1000 |      6s |        -36.46904 |  |   0.884654 |   -39.47251 |
|   86/1000 |      6s |        -36.65880 |  |   0.882602 |   -40.29276 |
|   87/1000 |      6s |        -36.63175 |  |   0.882383 |   -38.57649 |
|   88/1000 |      6s |        -36.50936 |  |   0.880482 |   -39.52821 |
|   89/1000 |      6s |        -36.98020 |  |   0.884703 |   -39.57598 |
|   90/1000 |      6s |        -37.01819 |  |   0.882674 |   -40.36236 |
|   91/1000 |      6s |        -36.73052 |  |   0.887008 |   -40.93673 |
|   92/1000 |      6s |        -37.16267 |  |   0.881913 |   -40.14212 |
|   93/1000 |      6s |        -36.99021 |  |   0.878657 |   -37.28026 |
|   94/1000 |      6s |        -37.34534 |  |   0.885366 |   -39.71950 |
|   95/1000 |      6s |        -37.23569 |  |   0.884994 |   -40.39451 |
|   96/1000 |      6s |        -37.27308 |  |   0.871521 |   -39.12759 |
|   97/1000 |      6s |        -37.30309 |  |   0.886872 |   -41.46177 |
|   98/1000 |      6s |        -37.34987 |  |   0.884224 |   -40.97799 |
|   99/1000 |      6s |        -37.40322 |  |   0.888358 |   -39.80403 |
|  100/1000 |      6s |        -37.53416 |  |   0.886730 |   -41.36189 |
|  101/1000 |      6s |        -38.43399 |  |   0.885347 |   -41.99572 |
|  102/1000 |      6s |        -38.32821 |  |   0.887203 |   -42.25543 |
|  103/1000 |      6s |        -38.65677 |  |   0.887979 |   -42.08511 |
|  104/1000 |      6s |        -38.60383 |  |   0.884876 |   -40.78190 |
|  105/1000 |      6s |        -38.59485 |  |   0.887782 |   -42.35987 |
|  106/1000 |      6s |        -38.71420 |  |   0.886968 |   -42.15277 |
|  107/1000 |      6s |        -38.57291 |  |   0.883362 |   -40.77871 |
|  108/1000 |      6s |        -38.84305 |  |   0.890815 |   -42.70679 |
|  109/1000 |      6s |        -38.88380 |  |   0.886640 |   -41.96876 |
|  110/1000 |      6s |        -38.99596 |  |   0.888679 |   -42.81652 |
|  111/1000 |      6s |        -38.90982 |  |   0.889519 |   -43.33083 |
|  112/1000 |      6s |        -39.03423 |  |   0.887673 |   -42.61254 |
|  113/1000 |      6s |        -39.02688 |  |   0.888802 |   -41.86796 |
|  114/1000 |      6s |        -39.13733 |  |   0.889896 |   -42.69013 |
|  115/1000 |      6s |        -39.14126 |  |   0.886543 |   -42.45926 |
|  116/1000 |      6s |        -39.15452 |  |   0.884299 |   -38.53394 |
|  117/1000 |      6s |        -39.07889 |  |   0.890081 |   -42.22606 |
|  118/1000 |      6s |        -39.28965 |  |   0.891637 |   -42.45770 |
|  119/1000 |      6s |        -39.34920 |  |   0.886523 |   -41.74710 |
|  120/1000 |      6s |        -39.38185 |  |   0.888431 |   -42.58713 |
|  121/1000 |      6s |        -39.44431 |  |   0.889780 |   -43.13353 |
|  122/1000 |      6s |        -39.38986 |  |   0.890090 |   -43.10300 |
|  123/1000 |      6s |        -39.47756 |  |   0.890916 |   -42.61047 |
|  124/1000 |      6s |        -39.63201 |  |   0.890100 |   -41.76921 |
|  125/1000 |      6s |        -39.52883 |  |   0.889295 |   -42.27189 |
|  126/1000 |      6s |        -39.77675 |  |   0.892364 |   -43.50582 |
|  127/1000 |      6s |        -39.61444 |  |   0.890519 |   -43.00453 |
|  128/1000 |      6s |        -39.52768 |  |   0.890558 |   -43.36122 |
|  129/1000 |      6s |        -39.74106 |  |   0.891666 |   -43.47186 |
|  130/1000 |      6s |        -39.77388 |  |   0.890802 |   -43.19411 |
|  131/1000 |      6s |        -39.49821 |  |   0.889384 |   -43.20708 |
|  132/1000 |      6s |        -39.81697 |  |   0.892864 |   -41.30073 |
|  133/1000 |      6s |        -39.51817 |  |   0.892106 |   -44.02893 |
|  134/1000 |      6s |        -39.79229 |  |   0.891236 |   -43.58228 |
|  135/1000 |      6s |        -39.82204 |  |   0.888769 |   -41.93724 |
|  136/1000 |      6s |        -39.72142 |  |   0.891551 |   -42.08825 |
|  137/1000 |      6s |        -39.92313 |  |   0.890526 |   -43.83299 |
|  138/1000 |      6s |        -39.85007 |  |   0.892631 |   -43.09006 |
|  139/1000 |      6s |        -39.94186 |  |   0.888686 |   -42.29409 |
|  140/1000 |      6s |        -39.97081 |  |   0.891606 |   -42.71321 |
|  141/1000 |      6s |        -40.01037 |  |   0.892104 |   -44.32558 |
|  142/1000 |      6s |        -40.04742 |  |   0.891839 |   -43.69470 |
|  143/1000 |      6s |        -40.18432 |  |   0.891702 |   -44.12483 |
|  144/1000 |      6s |        -40.22697 |  |   0.887204 |   -43.39280 |
|  145/1000 |      6s |        -40.06451 |  |   0.892159 |   -44.27902 |
|  146/1000 |      6s |        -40.04322 |  |   0.889299 |   -43.34205 |
|  147/1000 |      6s |        -40.14757 |  |   0.889873 |   -43.05906 |
|  148/1000 |      6s |        -40.29968 |  |   0.893215 |   -44.27822 |
|  149/1000 |      6s |        -40.29749 |  |   0.891614 |   -41.78301 |
|  150/1000 |      6s |        -40.21571 |  |   0.886241 |   -40.88869 |
|  151/1000 |      6s |        -40.18706 |  |   0.891714 |   -42.77570 |
|  152/1000 |      6s |        -40.26326 |  |   0.891676 |   -43.68714 |
|  153/1000 |      6s |        -40.40294 |  |   0.891242 |   -42.80483 |
|  154/1000 |      6s |        -40.55157 |  |   0.891729 |   -44.24223 |
|  155/1000 |      6s |        -40.52222 |  |   0.889428 |   -41.48289 |
