Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  6
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  300
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.84
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      6s |       9999.00000 |  |   0.035723 |    29.88084 |
|    2/1000 |      5s |         12.28879 |  |   0.233113 |     1.42950 |
|    3/1000 |      5s |         -0.06644 |  |   0.395777 |     1.57959 |
|    4/1000 |      5s |         -6.76610 |  |   0.539319 |   -10.41981 |
|    5/1000 |      5s |         -9.02648 |  |   0.602569 |   -13.75586 |
|    6/1000 |      5s |        -12.33494 |  |   0.643066 |   -17.69291 |
|    7/1000 |      5s |        -14.93866 |  |   0.667832 |   -18.54406 |
|    8/1000 |      5s |        -16.35922 |  |   0.667689 |   -14.31730 |
|    9/1000 |      5s |        -17.91095 |  |   0.691882 |   -19.92734 |
|   10/1000 |      5s |        -18.24028 |  |   0.687573 |   -18.59869 |
|   11/1000 |      5s |        -19.91063 |  |   0.701663 |   -17.87963 |
|   12/1000 |      5s |        -20.64576 |  |   0.695425 |   -17.22576 |
|   13/1000 |      5s |        -21.39951 |  |   0.728180 |   -25.92665 |
|   14/1000 |      5s |        -21.73743 |  |   0.728989 |   -23.70478 |
|   15/1000 |      5s |        -23.06007 |  |   0.734485 |   -24.30895 |
|   16/1000 |      5s |        -22.70857 |  |   0.749704 |   -25.99468 |
|   17/1000 |      6s |        -24.17812 |  |   0.755705 |   -28.40236 |
|   18/1000 |      6s |        -23.94372 |  |   0.757056 |   -26.50767 |
|   19/1000 |      5s |        -23.96447 |  |   0.762385 |   -28.37649 |
|   20/1000 |      5s |        -25.72800 |  |   0.749651 |   -25.12647 |
|   21/1000 |      5s |        -25.38600 |  |   0.722324 |   -24.09216 |
|   22/1000 |      5s |        -25.47819 |  |   0.773252 |   -28.71080 |
|   23/1000 |      5s |        -26.23642 |  |   0.758699 |   -25.44001 |
|   24/1000 |      5s |        -26.37258 |  |   0.776586 |   -27.29804 |
|   25/1000 |      5s |        -26.69505 |  |   0.774149 |   -29.60054 |
|   26/1000 |      5s |        -26.57712 |  |   0.771583 |   -29.20363 |
|   27/1000 |      5s |        -27.56430 |  |   0.782599 |   -31.57363 |
|   28/1000 |      5s |        -27.69255 |  |   0.783777 |   -31.01759 |
|   29/1000 |      5s |        -27.93529 |  |   0.784406 |   -30.63668 |
|   30/1000 |      5s |        -28.05232 |  |   0.765237 |   -27.73774 |
|   31/1000 |      5s |        -28.46252 |  |   0.785773 |   -27.98543 |
|   32/1000 |      5s |        -28.30491 |  |   0.786858 |   -33.36514 |
|   33/1000 |      5s |        -27.08235 |  |   0.790007 |   -31.21371 |
|   34/1000 |      5s |        -29.10460 |  |   0.788322 |   -32.77735 |
|   35/1000 |      5s |        -28.57992 |  |   0.790438 |   -30.84474 |
|   36/1000 |      5s |        -29.64818 |  |   0.793196 |   -33.49939 |
|   37/1000 |      5s |        -29.95690 |  |   0.796451 |   -33.12293 |
|   38/1000 |      5s |        -29.87883 |  |   0.794358 |   -33.67165 |
|   39/1000 |      5s |        -30.09814 |  |   0.794019 |   -30.03425 |
|   40/1000 |      5s |        -30.09680 |  |   0.795008 |   -31.53905 |
|   41/1000 |      5s |        -30.32081 |  |   0.799027 |   -34.53713 |
|   42/1000 |      5s |        -30.62413 |  |   0.802747 |   -33.98909 |
|   43/1000 |      5s |        -30.85148 |  |   0.797399 |   -31.69640 |
|   44/1000 |      5s |        -30.68152 |  |   0.807390 |   -34.44322 |
|   45/1000 |      5s |        -30.91169 |  |   0.805965 |   -34.05377 |
|   46/1000 |      5s |        -31.20699 |  |   0.804767 |   -33.95864 |
|   47/1000 |      5s |        -31.53370 |  |   0.814744 |   -34.92103 |
|   48/1000 |      5s |        -31.61606 |  |   0.808463 |   -31.15631 |
|   49/1000 |      5s |        -31.72521 |  |   0.815480 |   -35.48738 |
|   50/1000 |      5s |        -31.62367 |  |   0.812818 |   -36.04071 |
|   51/1000 |      5s |        -31.98281 |  |   0.817485 |   -35.80131 |
|   52/1000 |      5s |        -31.69157 |  |   0.820750 |   -35.71785 |
|   53/1000 |      5s |        -17.67980 |  |   0.822511 |   -34.40365 |
|   54/1000 |      5s |        -32.24931 |  |   0.821285 |   -32.39247 |
|   55/1000 |      5s |        -32.46982 |  |   0.823853 |   -34.73828 |
|   56/1000 |      5s |        -32.59343 |  |   0.825440 |   -31.20558 |
|   57/1000 |      5s |        -32.69823 |  |   0.833447 |   -36.41459 |
|   58/1000 |      5s |        -29.43008 |  |   0.836393 |   -33.60138 |
