Selected mat file:
original/R_6.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  33
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.2
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |     12s |       9999.00000 |  |   0.161258 |     3.35596 |
|    2/1000 |     12s |         -2.91084 |  |   0.559528 |   -11.44996 |
|    3/1000 |     12s |        -12.57578 |  |   0.660599 |   -19.19154 |
|    4/1000 |     12s |        -16.34698 |  |   0.680064 |   -20.22125 |
|    5/1000 |     12s |        -19.65922 |  |   0.712311 |   -21.42989 |
|    6/1000 |     11s |        -21.08554 |  |   0.732131 |   -24.22576 |
|    7/1000 |     12s |        -16.82779 |  |   0.743762 |   -26.84939 |
|    8/1000 |     12s |        -22.12091 |  |   0.757519 |   -27.66111 |
|    9/1000 |     11s |        -18.21180 |  |   0.768722 |   -28.29859 |
|   10/1000 |     11s |        -26.25433 |  |   0.780946 |   -31.20286 |
|   11/1000 |     11s |        -27.21699 |  |   0.783765 |   -31.59502 |
|   12/1000 |     11s |        -28.19318 |  |   0.783859 |   -30.24695 |
|   13/1000 |     12s |         -9.79010 |  |   0.786349 |   -30.78642 |
|   14/1000 |     11s |        -29.03084 |  |   0.791604 |   -30.47459 |
|   15/1000 |     11s |        -29.79166 |  |   0.793669 |   -32.62021 |
|   16/1000 |     11s |        -29.90839 |  |   0.790871 |   -28.59285 |
|   17/1000 |     11s |        -30.58545 |  |   0.811697 |   -34.66701 |
|   18/1000 |     11s |        -31.08109 |  |   0.811887 |   -34.03835 |
|   19/1000 |     11s |        -31.43740 |  |   0.823454 |   -35.56931 |
|   20/1000 |     11s |        -16.05660 |  |   0.822860 |   -34.82944 |
|   21/1000 |     11s |        -32.15508 |  |   0.830510 |   -35.94631 |
|   22/1000 |     11s |        -32.50665 |  |   0.837431 |   -35.72210 |
|   23/1000 |     11s |        -32.85153 |  |   0.841308 |   -35.20772 |
|   24/1000 |     11s |        -32.90802 |  |   0.844922 |   -35.87523 |
|   25/1000 |     11s |        -33.27618 |  |   0.844430 |   -34.16226 |
|   26/1000 |     11s |        -33.03278 |  |   0.858376 |   -38.12622 |
|   27/1000 |     11s |        -33.43462 |  |   0.857873 |   -36.83101 |
|   28/1000 |     11s |        -34.13827 |  |   0.857215 |   -37.76150 |
|   29/1000 |     11s |        -34.10774 |  |   0.862852 |   -37.59447 |
|   30/1000 |     11s |        -34.13613 |  |   0.865399 |   -37.22975 |
|   31/1000 |     11s |        -34.73697 |  |   0.864777 |   -38.92947 |
|   32/1000 |     12s |        -34.83819 |  |   0.872725 |   -38.96080 |
|   33/1000 |     11s |        -34.98597 |  |   0.870851 |   -37.33078 |
|   34/1000 |     11s |        -34.93329 |  |   0.869443 |   -38.93735 |
|   35/1000 |     12s |         10.05958 |  |   0.870385 |   -38.28203 |
|   36/1000 |     11s |        -35.44791 |  |   0.872741 |   -37.00315 |
|   37/1000 |     11s |        -31.21244 |  |   0.874964 |   -39.76387 |
|   38/1000 |     11s |        -35.85737 |  |   0.871841 |   -38.07780 |
|   39/1000 |     11s |        -35.61837 |  |   0.876653 |   -40.09172 |
|   40/1000 |     11s |        -36.11372 |  |   0.874907 |   -39.58810 |
|   41/1000 |     11s |        -36.33597 |  |   0.878730 |   -39.32036 |
|   42/1000 |     11s |        -36.52530 |  |   0.880112 |   -40.07618 |
|   43/1000 |     12s |        -36.56340 |  |   0.876603 |   -38.20057 |
|   44/1000 |     11s |        -36.57255 |  |   0.882281 |   -38.77650 |
|   45/1000 |     11s |        -36.85021 |  |   0.877239 |   -39.51636 |
|   46/1000 |     12s |        -36.98763 |  |   0.879136 |   -40.52978 |
|   47/1000 |     11s |        -36.97442 |  |   0.877191 |   -39.16042 |
|   48/1000 |     11s |        -36.51904 |  |   0.883674 |   -41.51121 |
|   49/1000 |     12s |        -37.26218 |  |   0.882495 |   -40.06395 |
|   50/1000 |     11s |        -37.43190 |  |   0.885788 |   -41.46776 |
|   51/1000 |     11s |        -37.51536 |  |   0.861986 |   -36.76042 |
|   52/1000 |     11s |        -37.53662 |  |   0.884245 |   -40.55375 |
|   53/1000 |     12s |        -37.65184 |  |   0.885452 |   -41.50348 |
|   54/1000 |     11s |        -37.64966 |  |   0.885921 |   -41.34729 |
|   55/1000 |     11s |        -18.46513 |  |   0.877155 |   -40.52673 |
|   56/1000 |     11s |        -35.77039 |  |   0.883533 |   -42.04125 |
|   57/1000 |     11s |        -37.95709 |  |   0.885723 |   -40.95186 |
|   58/1000 |     11s |        -38.02158 |  |   0.886089 |   -41.60075 |
