Selected mat file:
otherR/R_9.00.mat
Selected input idx:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 18, 21]
Selected output idx:
[14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32]


 The Models hyperparameter set is:
feat_in  :  14
feat_cond  :  19
PCA_in  :  False
PCA_cond  :  False
clamp  :  2.0
n_CouplingBlock  :  8
permute_soft  :  True
subnet_layer  :  1
subnet_dim  :  400
activation  :  PReLU(num_parameters=1)
condnet  :  False
condnet_layer  :  1
condnet_dim  :  100
condnet_activation  :  ReLU()
batch_norm  :  False
drop_out  :  True
drop_out_rate  :  0.05
optimizer  :  adagrad
learning_rate  :  0.16
optim_eps  :  1e-06
weight_decay  :  2e-05
lr_scheduler  :  True
lr_epoch_step  :  100
lr_factor  :  0.8
epochs  :  1000
batch_size  :  32
test_split  :  0.6
grad_clip  :  2
device  :  cuda:0


| Epoch:    |  Time:  | Loss_maxL_train: |  | Acc_i_val: | L_maxL_val: |
|-----------|---------|------------------|  |------------|-------------|
|    1/1000 |      8s |       9999.00000 |  |   0.035140 |    68.43482 |
|    2/1000 |      8s |          9.98888 |  |   0.207543 |     6.95738 |
|    3/1000 |      8s |         -0.40613 |  |   0.355702 |    -5.74416 |
|    4/1000 |      8s |         -5.61446 |  |   0.382086 |     0.05512 |
|    5/1000 |      8s |         -8.60457 |  |   0.415214 |     0.25201 |
|    6/1000 |      8s |        -10.32350 |  |   0.499271 |   -13.78200 |
|    7/1000 |      8s |        -11.88643 |  |   0.525314 |   -14.16611 |
|    8/1000 |      8s |        -13.65466 |  |   0.530033 |   -12.98333 |
|    9/1000 |      8s |        -14.48619 |  |   0.558277 |   -18.04852 |
|   10/1000 |      8s |        -14.69904 |  |   0.573185 |   -18.70455 |
|   11/1000 |      8s |        -16.44548 |  |   0.577582 |   -20.40732 |
|   12/1000 |      8s |        -16.92311 |  |   0.597511 |   -19.08063 |
|   13/1000 |      8s |        -17.60045 |  |   0.599913 |   -18.84043 |
|   14/1000 |      8s |        -18.18457 |  |   0.602599 |   -15.95729 |
|   15/1000 |      8s |        -18.93902 |  |   0.637341 |   -21.27012 |
|   16/1000 |      8s |        -19.37147 |  |   0.640394 |   -21.45679 |
|   17/1000 |      8s |        -19.95888 |  |   0.620737 |   -16.92383 |
|   18/1000 |      8s |        -20.21427 |  |   0.650492 |   -21.09704 |
|   19/1000 |      8s |        -19.94378 |  |   0.673291 |   -23.47601 |
|   20/1000 |      8s |        -20.95903 |  |   0.674139 |   -23.93822 |
|   21/1000 |      8s |        -21.40896 |  |   0.678906 |   -24.08201 |
|   22/1000 |      8s |        -21.90225 |  |   0.679236 |   -24.46569 |
|   23/1000 |      8s |        -22.32545 |  |   0.686057 |   -25.70500 |
|   24/1000 |      8s |        -22.36955 |  |   0.690022 |   -25.32656 |
|   25/1000 |      8s |        -22.56479 |  |   0.694608 |   -25.65962 |
|   26/1000 |      8s |        -22.96050 |  |   0.700124 |   -26.60413 |
|   27/1000 |      8s |        -23.32067 |  |   0.694469 |   -26.87886 |
|   28/1000 |      8s |        -23.73951 |  |   0.679333 |   -23.32237 |
|   29/1000 |      8s |        -23.81384 |  |   0.706264 |   -27.30631 |
|   30/1000 |      8s |        -23.90832 |  |   0.694665 |   -25.64810 |
|   31/1000 |      8s |        -24.38163 |  |   0.715486 |   -28.29880 |
|   32/1000 |      8s |        -24.43251 |  |   0.712100 |   -25.65784 |
|   33/1000 |      8s |        -24.44414 |  |   0.716472 |   -26.44801 |
|   34/1000 |      8s |        -24.77347 |  |   0.719266 |   -27.19528 |
|   35/1000 |      8s |        -24.99643 |  |   0.716238 |   -27.05302 |
|   36/1000 |      8s |        -24.97763 |  |   0.724532 |   -28.30969 |
|   37/1000 |      8s |        -25.34315 |  |   0.721792 |   -26.86645 |
|   38/1000 |      8s |        -25.52730 |  |   0.728057 |   -27.86470 |
|   39/1000 |      8s |        -25.64718 |  |   0.731201 |   -29.56866 |
|   40/1000 |      8s |        -26.01629 |  |   0.728176 |   -27.89160 |
|   41/1000 |      8s |        -25.99100 |  |   0.730503 |   -27.79069 |
|   42/1000 |      8s |        -26.07167 |  |   0.738119 |   -29.93365 |
|   43/1000 |      8s |        -26.39076 |  |   0.733973 |   -28.52858 |
